title,year,hint_1,hint_2,hint_3,hint_4
"The Batman",2022,"A superhero film that decided what the franchise really needed was more rain, more eyeliner, and a Nirvana song playing over a voiceover that sounds like a teenager's journal.","The hero spends most of the runtime doing actual detective work, which is novel for a character whose name literally includes the word ""detective"" but who usually just punches people in alleys.","You've seen this. A masked vigilante, a riddle-obsessed serial killer livestreaming from a basement, and a Gotham so soaked you can practically smell it.","The Riddler leaves question marks. The Penguin waddles. Selina wears the goggles. The title is the most literal version of itself imaginable."
"The Big Chill",1983,"A film where a group of Baby Boomers gather to mourn their idealism and a friend, in roughly that order, while the soundtrack does about sixty percent of the emotional labor.","Kevin Costner was cast as the dead friend, and his entire performance ended up on the cutting room floor — making him the most successful corpse in cinema history.","Either you haven't seen this, or you have and that's somehow worse — a weekend in a South Carolina house, a Motown needle drop during the dish-washing scene, and a lot of wine.","Seven friends, one funeral, and a whole lot of ""what happened to us"" — the title is two words and describes what middle age feels like."
"The Big Short",2015,"A 2015 film that tried to explain collateralized debt obligations using Margot Robbie in a bubble bath, which remains the most effective economics lecture ever filmed.","A bald man in a t-shirt and shorts realizes the housing market is built on garbage, and the rest of the movie is him being right while everyone yells at him.","At this point I have to ask — does the phrase ""subprime mortgage"" ring any bells, or did 2008 just kind of happen around you?","Directed by Adam McKay, narrated by Ryan Gosling breaking the fourth wall, and titled after the trade itself. Two words. Go."
"The Black Phone",2022,"A 2022 horror film that took a Joe Hill short story and turned it into a period piece about the specific terror of being a kid in the 1970s, when adults were a different kind of unsupervised.","The villain wears a swappable mask with interchangeable expressions, which is both genuinely unsettling and a great gift idea for the right kind of nephew.","The fact that you're still guessing tells me something about you — namely, that ""disconnected device in a basement that rings anyway"" isn't ringing any bells.","The Grabber. A basement. A receiver on the wall that shouldn't work. The title is the color of the object and the object itself."
"The Blair Witch Project",1999,"A 1999 film made for the price of a used Honda that convinced an entire generation the woods were a marketing campaign waiting to happen.","Three film students go into the Maryland woods, and the scariest thing that happens to one of them is a pile of rocks and a runny nose.","I want you to think carefully about what you actually know — shaky handheld camera, a girl crying directly into the lens about her own mortality, and a guy standing in a corner at the end.","Found footage. Stick figures hanging from trees. The website that made everyone think it was real. The title names the antagonist and the documentary the kids were making."
"The Blind Side",2009,"A 2009 sports drama that asked the question, ""What if a wealthy Southern family adopted a future NFL left tackle?"" — and answered it with an Oscar.","The real-life football player at the center of this story has since spent years pointing out that the movie took some liberties, which is Hollywood's way of saying ""based on a true story.""","Let me be direct with you. There's a Thanksgiving scene, a football field, and a blonde woman in a power blazer telling a coach how to do his job.","Big Mike. Ole Miss. A protective lead actress who finally won her Oscar by adopting a teenager and a Tennessee accent simultaneously."
"The Blues Brothers",1980,"A 1980 musical comedy that destroyed more police cars than any film before it, which is the kind of record studios used to be proud of.","Two siblings in black suits, black hats, and black sunglasses reunite their old band by personally driving across Illinois to harass each former member at their day job.","You know this one — a Bluesmobile, a mall chase through the inside of a J.C. Penney, Nazis getting launched off a bridge, and Aretha Franklin demanding R-E-S-P-E-C-T behind a diner counter.","Jake and Elwood. 106 miles to Chicago, a full tank of gas, half a pack of cigarettes, it's dark, and they're wearing sunglasses."
"The Bodyguard",1992,"A 1992 romance that exists primarily so a soundtrack could sell forty-five million copies and a single ballad could haunt every wedding reception for the next decade.","A stoic former Secret Service agent is hired to protect a pop superstar, and approximately ninety minutes later, he is carrying her off a stage in slow motion.","Here's what I know about you right now — you can hear the opening notes of a certain Dolly Parton cover in your head, and that should be enough.","""I Will Always Love You."" A samurai sword, a white turtleneck, and Kevin Costner with the most committed haircut of his career."
"The Bourne Identity",2002,"A 2002 spy thriller that rebooted the genre by deciding the hero should look exhausted, confused, and capable of killing a man with a ballpoint pen.","An amnesiac is fished out of the Mediterranean with bullets in his back and a laser projector embedded in his hip, which is a worse Monday than most.","This is the part where I stop being polite about it. He doesn't know his own name, but he can disarm a cop in Zurich in under four seconds.","Jason. A red duffel bag, a Mini Cooper chase through Paris, and a CIA program with a name that sounds like a cologne."
"The Bourne Supremacy",2004,"A 2004 sequel where the director decided the audience needed to feel motion sickness as a form of empathy with the protagonist.","Our amnesiac assassin is living quietly in Goa until someone frames him in Berlin, which is exactly the kind of inconvenience that ruins a beach vacation.","I'm going to need you to search your memory more aggressively — same guy, same last name, second film in the trilogy, and a car chase through Moscow that ends in a tunnel.","The first word is his surname. The second word is a synonym for dominance. Last time I made this easy."
"The Bourne Ultimatum",2007,"A 2000s action franchise that convinced every director for the next decade that a fight scene wasn't legitimate unless the camera was also being punched.","A man who has forgotten his own name can still field-strip a pistol, evade six intelligence agencies, and improvise a chase through Waterloo Station using only a cell phone and a journalist's bad instincts.","Consider what you're admitting by not having gotten this yet. The third entry in a trilogy about a man whose entire personality is ""I used to work for the CIA and I have notes.""","Tangiers rooftops, a motorcycle, and the words ""Operation Blackbriar."" His last name is also a city in Massachusetts."
"The Boy and the Heron",2023,"The supposed final film from a Japanese animator who has announced his retirement so many times it is now part of the marketing.","A grieving kid follows a talking bird into a crumbling tower that contains parakeet armies, a dead grand-uncle, and the architecture of the universe — standard fare for this studio.","Take a breath. Think about what decade you're in. A hand-drawn 2023 Japanese animated film about a boy, his stepmother, and a sarcastic gray bird that won the Oscar.","Studio Ghibli. Miyazaki. The title is the kid and the bird, in that order."
"The Brutalist",2024,"A 2024 film shot in VistaVision with an intermission, because nothing says ""I respect your time"" like a built-in bathroom break.","A Hungarian-Jewish architect arrives in Pennsylvania after the war and is hired by a wealthy patron to design a community center that becomes the slowest-motion act of revenge ever committed to concrete.","Between you and me, this is embarrassing. The title is also an architectural movement defined by enormous slabs of raw gray concrete. Look at any government building from 1965.","Adrien Brody won his second Oscar for this. The architecture style is in the title."
"The China Syndrome",1979,"A 1979 thriller about a nuclear meltdown that had the spectacular misfortune — or fortune, depending on the studio's marketing department — of being released twelve days before Three Mile Island actually melted down.","A TV reporter stuck doing fluff pieces stumbles into the story of her career when a control room operator starts sweating in a way that suggests the dials are not, in fact, fine.","Whatever you're doing isn't working. The title refers to a hypothetical reactor accident so catastrophic the molten core would, theoretically, burn straight through the planet to the other side.","A reactor. A cover-up. A reporter in a blazer. The title is a country plus a medical-sounding word, and you've already heard me say one of them."
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"A 2005 adaptation of a Christian allegory dressed up as a children's fantasy, which Disney funded hoping to catch the post-Rings, post-Potter wave of ""kids plus swords plus snow.""","Four British siblings get evacuated during the Blitz, climb into a piece of furniture, and emerge into a forest where a faun offers them tea — somehow the second-weirdest thing that happens to them that week.","I want to give you the benefit of the doubt here, but — a snowy lamppost, a talking beaver, Turkish Delight as a bribery device, and a great big sacrificed cat who comes back to life.","Aslan. Mr. Tumnus. The White Witch. The title is basically a furniture catalog with a zoo attached."
"The Cider House Rules",1999,"A 1999 prestige drama based on a John Irving novel, in which Irving also wrote the screenplay and won an Oscar for adapting himself.","An orphan trained in obstetrics by the doctor who raised him leaves home to pick apples, fall in love, and quietly reckon with the ethics of the procedure he was raised to perform.","We've been at this long enough. The title refers to a list of regulations posted on the wall of the building where the migrant apple-pickers sleep, which nobody can read.","Michael Caine won Best Supporting Actor playing the ether-addicted doctor. The title is a beverage, a building, and a noun about laws."
"The Color Purple",1985,"A 1985 film where one of the biggest commercial directors of all time decided to make a sweeping drama about Black womanhood in the Jim Crow South, which the Academy thanked him for with eleven nominations and zero wins.","A young woman is separated from her sister, married off to a man she calls ""Mister,"" and spends decades discovering that joy is something you have to insist on.","You're making this harder than it is. The title is a shade you'd find on a Crayola, and the source novel won the Pulitzer.","Based on Alice Walker's novel. Whoopi Goldberg's debut. The title is two words — an adjective and a hue."
"The Conjuring: The Devil Made Me Do It",2021,"The third installment in a horror franchise built around two real-life paranormal investigators whose case files have generated more box office than most superheroes.","A courtroom horror film where the defense strategy is, and I quote, ""a demon was driving.""","Look, I'm not judging you. I am, but I'm not showing it. Ed and Lorraine Warren, a possessed young man, and a murder trial — does any of this ring a bell?","A haunted waterbed, a satanic cult, and a franchise title where the subtitle is a Flip Wilson catchphrase. Patrick Wilson and Vera Farmiga, take a bow."
"The Conversation",1974,"A 1974 film made by a director who, between the first two Godfather movies, took a breather to craft a quiet paranoid character study about a man and his tape recorder.","A surveillance expert records a couple in a San Francisco park and becomes increasingly convinced that what he heard is going to get someone killed, while methodically destroying his own apartment looking for bugs.","This one has been on television roughly four hundred times. The title is the single noun for the thing the protagonist recorded and cannot stop listening to.","Gene Hackman in a translucent raincoat playing the saxophone alone. The title is a one-word noun for two people talking."
