title,year,hint_1,hint_2,hint_3,hint_4
"Brooklyn",2015,"A 2015 period romance about immigration, homesickness, and the terrible inconvenience of realizing a new life can fit you better than the old one.","The heroine leaves Ireland for New York, gets a department-store job, learns to eat spaghetti properly, and discovers that longing is much harder to organize than a suitcase.","You've seen this. A young woman in the 1950s caught between home and possibility, between a sweet Italian-American boy and the life everyone back in Ireland suddenly wants her to choose.","Green hills, brownstones, letters across the Atlantic, and one heart doing customs paperwork between two countries."
"Bruce Almighty",2003,"A 2003 comedy from the era when high-concept studio premises could be explained entirely by one furious man yelling at the sky.","A Buffalo TV reporter complains that the universe is badly managed, so the universe hands him the keys and watches him immediately use divine power for petty career advancement and bedroom theatrics.","Either you haven't seen this, or you have and that's somehow worse. The guy gets God's job for a week and learns that answering everyone's prayers at once is how you create total chaos and several thousand lottery winners.","The moon gets pulled closer for romance, prayers arrive like email, and Morgan Freeman wears a white suit with the serene energy of someone who already knows the answer."
"Bugonia",2025,"A 2025 conspiracy thriller-comedy about the modern brain after too much internet: every CEO is suspicious, every corporation is cosmic, and every basement is apparently a research facility.","Two young men kidnap a powerful executive because they are convinced she is not just morally alien, but literally alien, which is a bold distinction and terrible legal strategy.","At this point I have to ask — are you looking for the one where corporate paranoia, abduction, and extraterrestrial delusion get shoved into the same locked room?","Shaved heads, a kidnapped CEO, bees in the thematic wallpaper, and the new Lanthimos oddity where the conspiracy board has finally taken hostages."
"Bugsy",1991,"A 1991 gangster drama where old Hollywood glamour and organized crime stare at each other across a casino table and decide they could make real money in the desert.","A New York mobster lands in Los Angeles, falls for a dangerous woman, and becomes obsessed with turning a dusty Nevada gambling stop into a monument to ego, violence, and bad accounting.","The fact that you're still guessing tells me something about you. You hear gangster, movies, Las Vegas, doomed visionary, and you still won't walk into the Flamingo.","Benjamin Siegel. Virginia Hill. A temper in a tailored suit. The nickname is short, childish, and exactly the kind of thing you should not call him to his face."
"Caddyshack",1980,"A 1980 comedy that treats an elite golf club as a collapse of American class warfare, then wisely adds a dancing rodent and stops pretending to be sociology.","There is a judge with a country-club soul, a rich loudmouth detonating etiquette on sight, a Zen-ish golf pro, and a greenskeeper conducting guerrilla war against a gopher.","I want you to think carefully about what you actually know. Golf course. Pool scene. Candy bar panic. Explosives in the fairway. A small underground mammal with better comic timing than most humans.","“Be the ball.” “So I got that going for me.” The gopher dances, the course explodes, and the snobs lose control of the clubhouse."
"Call Me by Your Name",2017,"A sun-drunk 1983 romance where the real villain is emotional repression, closely followed by stone fruit and Italian leisurewear.","A graduate student arrives at a professor’s villa, and suddenly every swim, bike ride, glance, and piano phrase becomes evidence in a case nobody wants to prosecute.","Let this be direct with you. Northern Italy, first love, ancient statues, unbearable longing, and a father giving one of cinema’s most devastatingly humane speeches.","Elio. Oliver. The peach. The fireplace. The final credits sit on one face while heartbreak does all the acting."
"Cape Fear",1962,"A 1962 thriller from the black-and-white school of menace, where the scariest man in town understands the law well enough to stand just outside it and smile.","A lawyer's testimony helped put a violent criminal away, and when that criminal gets out, he doesn't rush. He stalks the family with patience, tattoos, and a cigar-lit sense of purpose.","You know this one. An ex-con named Max Cady terrorizes the man who sent him to prison, and every frame says the justice system brought a knife to a nightmare.","“Counselor.” The river. The family under siege. Robert Mitchum radiating pure predator energy before the later remake turned the volume up to operatic screaming."
"Capote",2005,"A 2005 literary biopic about the moment a celebrated New York writer went to Kansas and discovered that turning murder into art has a moral invoice attached.","The assignment begins as journalism: a murdered family, two killers, a small town in shock. Then the writer gets close enough to one prisoner that ambition and empathy start sharing a cigarette.","Here's what I know about you right now — you are circling the film about the making of In Cold Blood and somehow avoiding the tiny, sharp-dressed author at the center of it.","The voice. The scarves. The New Yorker assignment. A Kansas murder case becomes a masterpiece, and the writer's surname is the whole answer you are not allowed to make me say."
"Captain America: Civil War",2016,"A 2016 superhero movie that looked at years of city-destroying heroics and asked the least comic-book question imaginable: who is paying for all this liability?","The team fractures over government oversight, guilt, friendship, and one very angry billionaire who discovers that a frozen best friend has been sitting on the worst possible family secret.","This is the part where I stop being polite about it. Airport fight. Team shield versus team armor. A teenager from Queens swings in, says hi, and immediately improves the movie.","Sokovia Accords. Bucky. Zemo. Black Panther's debut. Spider-Man steals the room. The subtitle is what happens when heroes stop having meetings and start throwing each other through jets."
"Captain America: The Winter Soldier",2014,"A 2014 superhero sequel disguised as a paranoid political thriller, because apparently the clean-cut man with the shield wandered into the 1970s and found better villains.","The hero is adjusting to modern Washington when the spy agency around him starts looking less like a defense organization and more like a fascist hydra wearing a government badge.","I'm going to need you to search your memory more aggressively. Elevator fight. Three helicarriers. “On your left.” A masked assassin with a metal arm and a very personal history.","Steve and Natasha go on the run, Fury won't stay buried, Sam gets the wings, and the old friend from the war comes back as the brainwashed nightmare with the metal arm."
"Captain Marvel",2019,"The MCU finally went full '90s here: pay phones, Blockbuster Video, dial-up attitudes, and a superhero origin story with grunge-adjacent lighting.","An Air Force pilot with memory problems gets dragged through a Kree-Skrull war, while an orange cat quietly becomes the most dangerous creature in the room.","Consider what you're admitting by not having gotten this yet. Space soldier, glowing fists, retro soundtrack, and a pager that suddenly mattered a lot after the universe got snapped.","Carol Danvers. Goose. Skrulls with feelings. A hero whose name is also a military rank plus a comic-book company. Land the plane."
"Captain Phillips",2013,"A 2013 survival thriller from the era when true stories were being polished into prestige panic attacks, this one set on a container ship where globalization suddenly has a gun pointed at it.","Somali pirates board the Maersk Alabama, and the movie turns into a workplace nightmare where the office is the Indian Ocean and the HR department is a lifeboat.","Take a breath. Think about what decade you're in. Modern piracy, not eye patches and parrots — skiffs, AKs, a cargo vessel, and everybody sweating through negotiations at sea.","The line you’re circling is “I’m the ___ now,” but I’m not allowed to hand you the forbidden word, so enjoy that little legal cage while the lifeboat bobs in the water."
"Carnal Knowledge",1971,"A 1971 adult drama from the moment when American movies discovered that men talking honestly about sex often just meant men incriminating themselves at length.","Two college friends spend decades treating women like case studies, trophies, disappointments, and mirrors, then seem confused when intimacy does not salute them.","Between you and me, this is embarrassing. The title is a fancy old euphemism for sex, and the movie is basically two men aging badly inside that phrase.","Two words: fleshly desire plus information. A courtroom-adjacent way to say “they had sex,” dressed up like it owns a blazer."
"Carrie",1976,"A 1976 horror film that understood high school as a supernatural pressure cooker, then added religious mania, menstrual panic, and a gymnasium full of doomed teenagers.","The bullied girl has telekinetic powers, a mother who turns repression into architecture, and classmates who think pig’s blood is a reasonable prank strategy.","Whatever you're doing isn't working. Prom night. A crown. A bucket. Fire everywhere. The most catastrophic school dance before everyone started filming things on phones.","Stephen King’s first famous doomed teenage girl. Her first name is the title, and if you still miss it, the gym doors are locking behind you."
"Cars",2006,"A mid-2000s animated film that looked at American highway nostalgia and decided the saddest thing in the world was a bypassed town full of sentient bumpers.","The hotshot rookie gets stranded in a dusty Route 66 outpost, where community service, tire shops, and one extremely rusty tow truck teach him humility by force.","I want to give you the benefit of the doubt here, but — the main character is named Lightning McQueen, which is less a name than a toy aisle screaming at your wallet.","Radiator Springs. Mater. The Piston Cup. Life is a highway, and the answer has been idling in front of you this whole time."
