title,year,hint_1,hint_2,hint_3,hint_4
"Despicable Me 4",2024,"A franchise that figured out yellow pill-shaped creatures speaking gibberish was a more durable business model than most marriages.","The former supervillain is now a father of three girls and an infant son whose entire personality is making his dad's life worse, which is also the plot of every sitcom from 1995.","You've seen this. Or your nephew has, and you sat next to him, and the minions did the song, and you remember none of it.","Gru. Lucy. The girls. A baby. A new villain who is, as the title suggests, more bad than usual."
"Diamonds Are Forever",1971,"By 1971 the world's most famous spy was getting a little puffy around the tuxedo, and the producers paid a king's ransom to get the original back for one more lap.","The plot involves a satellite weapon, a Vegas casino, and a bald cat-stroking villain in drag, which is exactly the kind of decision a screenwriter makes when nobody is editing them.","Either you haven't seen this, or you have and that's somehow worse — the title is a famous lyric from a song about a girl's best friend.","007. Blofeld. Connery's last official outing. The mineral in the title lasts the same length of time as the franchise."
"Die Hard: With a Vengeance",1995,"The third entry in a franchise that started in a building, moved to an airport, and now needed somewhere bigger — so they took the whole of New York.","A hungover cop is forced to wear a sandwich board with a racial slur on it in Harlem, which is how the screenwriter introduces the second lead. The 90s were a different time.","At this point I have to ask — does a riddle involving a jug, five gallons, and three gallons ring any bells?","McClane is back. There's a bomb in a school. The villain's brother died in a building in Los Angeles a few movies ago. The title rhymes with ""Pie Bard."""
"Dirty Dancing",1987,"A small movie from 1987 that nobody expected to be a hit, which then became the reason an entire generation of women know what a mambo is.","A doctor's daughter spends the summer at a Catskills resort and falls for the dance instructor, who has the cheekbones of a Greek statue and the politics of a labor organizer.","The fact that you're still guessing tells me something about you. Nobody puts you in a corner, and yet here you are, in one.","A watermelon. A lift in a lake. The time of her life. The title is two words and one of them is an adjective your mother used about your room."
"Dirty Harry",1971,"A 1971 film that argued, with some force, that the problem with American policing was that it wasn't violent enough — a take that has aged like unrefrigerated mayonnaise.","A San Francisco cop with a .44 Magnum spends ninety minutes monologuing at a serial killer who wears a peace-sign belt buckle. Subtle.","I want you to think carefully about what you actually know. There is a man, a gun, and a question about whether he feels lucky. Well, do you, punk?","Clint. A rooftop. A hostage. The first name is in the title and so is the adjective the squinting man earned by doing every job nobody else would."
"District 9",2009,"A 2009 South African film that did more political work in its first ten minutes than most awards-bait dramas manage in two hours.","Aliens arrive on Earth, get parked in a slum, and are derisively called ""prawns"" — which is the kind of detail that tells you exactly what kind of movie you're in.","Let me be direct with you. The aliens are the sympathetic ones. The corporation is evil. The protagonist slowly turns into one of them. You're welcome.","Johannesburg. A mothership hovering over the city. A bureaucrat with a clipboard who slowly grows a claw. The title is a place name and a number."
"Django Unchained",2012,"A 2012 revenge western from a director who has never met a needle drop he didn't want to crank to eleven.","A freed slave and a German dentist-turned-bounty-hunter team up to shoot their way across the antebellum South, which is the kind of premise only one filmmaker on Earth would greenlight.","You know this one. The D is silent. The blood is not.","A plantation called Candyland. A whip. A very long dinner table scene about phrenology. The title is a name plus a past participle."
"Do the Right Thing",1989,"A 1989 film set on a single Brooklyn block on the hottest day of the year, where the temperature is a character and the pizza is a flashpoint.","A young man named Mookie delivers pizzas, a man named Radio Raheem carries a boombox playing one song on a loop, and a Wall of Fame becomes the most contested piece of interior decorating in cinema.","Here's what I know about you right now — you've heard ""Fight the Power"" at least once, you've seen the trash can go through the window, and you're still pretending this is a hard one.","Sal's Pizzeria. Mookie. Buggin' Out. The filmmaker plays the lead and also directed it, and the title is an instruction."
"Doctor Strange",2016,"A 2016 superhero film that asked the question, ""What if Sherlock Holmes learned magic in Nepal?""","A neurosurgeon ruins his hands in a car crash and rebuilds his entire personality around capes that float and hand gestures that look like sign language for the smug.","This is the part where I stop being polite about it. The hero's title is his profession plus an adjective meaning weird. Two words. Go.","The Sanctum Sanctorum. The Eye of Agamotto. A goatee that does most of the acting. Cumberbatch in a cape."
"Doctor Strange in the Multiverse of Madness",2022,"The 2022 sequel where Marvel handed the keys to the guy who made Evil Dead, and he drove the franchise directly into a horror movie.","A teenage girl who can punch holes between universes is chased by a previously beloved Avenger who has gone fully, operatically villainous because of grief and a magical book.","I'm going to need you to search your memory more aggressively. Same caped sorcerer as before. New title. The second half of it rhymes with ""mulitverse of gladness.""","Wanda. America Chavez. A zombie version of our hero surfing on demons. The title is the previous movie plus a location and an emotional state."
"Dog Day Afternoon",1975,"A 1970s crime film that understood the decade's real anxiety wasn't violence — it was the camera crew that shows up after.","A bank robbery so poorly planned the robbers find themselves negotiating pizza orders and chanting at riot cops, which is what happens when your heist plan fits on a napkin.","Consider what you're admitting by not having gotten this yet. A botched Brooklyn robbery, a sweaty hostage standoff, and a chant of ""Attica! Attica!"" that became shorthand for an entire era.","Sonny. Sal. A getaway plane to a country Sal can't name. The title is a heatwave and a time of day."
"Don't Look Up",2021,"A 2021 satire that mistook smugness for sharpness and decided the planet ending was less alarming than the group chat.","Two scientists discover a planet-killing comet and go on morning television, where the hosts ask them to keep it light. The General charges them for free White House snacks.","Take a breath. Think about what decade you're in. A comet allegory, a thinly-veiled tech billionaire, and a President who would rather poll the apocalypse than prevent it.","The title is an instruction. It is also a political slogan in the film. It is also what you should be doing at the screen right now."
"Drive My Car",2021,"A three-hour Japanese drama that won Best International Feature by being more patient than every other film that year combined.","A grieving theater director stages a multilingual production of Uncle Vanya while a young woman in a red Saab quietly becomes the only person he can talk to.","Between you and me, this is embarrassing. The title is also a Beatles song. The film is also based on a Murakami short story. I've now given you two enormous hints in one sentence.","Hiroshima, a red Saab 900, and long stretches of silence broken by cassette tapes of a dead wife reading lines."
"Driving Miss Daisy",1989,"A 1989 film that won Best Picture by being so gentle and well-meaning that the Academy mistook politeness for profundity.","An elderly Southern Jewish widow and her Black chauffeur slowly become friends over 25 years, which the film presents as a triumph and history presents as the bare minimum.","Whatever you're doing isn't working. The title is a verb, a courtesy, and a first name. That's the whole sentence.","Atlanta. A Cadillac. Morgan Freeman saying ""Yes'm"" for what feels like a quarter century. The title is in the plot summary I didn't give you."
