title,year,hint_1,hint_2,hint_3,hint_4
"Trading Places",1983,"An 80's comedy that doubles as the most accessible explanation of commodities futures ever filmed, which is a low bar but still.","Two obscenely wealthy brothers wager one dollar on whether nature or nurture determines success, ruin two men's lives to find out, and the movie treats this as a reasonable inciting incident.","You've seen this — a butler, a gorilla on a train, frozen orange juice futures, and a Christmas party that ends a man's career.","Aykroyd in blackface on a train. Murphy in a Santa suit eating a salmon through his beard. It was a different decade."
"Traffic",2000,"A 2000 film that color-coded its three storylines so aggressively that film students still use it as a teaching example and cinematographers still grind their teeth about it.","The drug czar discovers his honor-roll daughter is smoking crack, which is the kind of irony the script underlines, circles, and then hands you a highlighter.","Either you haven't seen this, or you have and that's somehow worse — Mexico is yellow, Ohio is blue, San Diego is washed out, and a Mexican cop just wants a baseball field for his neighborhood.","Benicio del Toro won an Oscar for it, in Spanish, in a movie about the war on drugs. The title is one word and it's what you sit in on the 405."
"Train Dreams",2025,"A 2025 adaptation of a Denis Johnson novella, which is a sentence that already tells you no one is going to be okay by the end.","A laborer in the Pacific Northwest helps build the railroads, loses everything that matters, and the film treats this with the patience of someone watching a tree grow.","At this point I have to ask — did you see anything this year that wasn't a sequel? Because this one had a quiet logger, a forest fire, and Will Patton narrating like he's tucking you in.","The first word is a thing with tracks. The second is what you have when you sleep. Put them together."
"Transformers One",2024,"A 2024 animated prequel that finally answers the question nobody was asking but everyone secretly wanted answered: were these two giant robots ever actually friends?","Two miners on a dying planet, no transformation cogs, just vibes and a buddy comedy energy that curdles into the most famous rivalry in toy history.","The fact that you're still guessing tells me something about you — specifically, that you've ignored four decades of cartoons, live-action explosions, and a franchise that has personally funded several beach houses for Michael Bay.","Before he was Optimus Prime, he was just Orion Pax. Before he was Megatron, he was just D-16. Cybertron, origin story, robots in disguise — you have what you need."
"Transformers: Age of Extinction",2014,"A 2014 entry in a franchise that by this point was less a film series and more a sustained assault on the concept of editing.","A Texas inventor finds a beat-up truck in an abandoned movie theater, and the movie thinks this is poignant rather than the setup to a Geico ad.","I want you to think carefully about what you actually know — there are dinosaur robots in this one. Dinosaur. Robots. With saddles.","Mark Wahlberg yelling at his daughter's boyfriend about a Romeo and Juliet law, while a giant robot T-Rex breathes fire in the background. That happened."
"Transformers: Dark of the Moon",2011,"A 2011 third entry that retcons the 1969 lunar landing into a secret recovery mission for a crashed alien ship, because subtlety had left the franchise around the second act of the first film.","Chicago gets leveled, a Decepticon worm-thing eats a building, and somewhere in there a Victoria's Secret model is asked to act opposite a robot.","Let me be direct with you — giant alien robots, Sentinel Prime as the villain, and the previous human lead got swapped out between films like a phone contract.","Optimus. Bumblebee. A lunar conspiracy and Leonard Nimoy voicing the bad guy. You can take it from here."
"Transformers: Revenge of the Fallen",2009,"A 2009 sequel released into a writers' strike, which explains everything you need to know about the script, the pacing, and the existence of robot testicles.","The hero goes to college for approximately one afternoon before the plot remembers he's supposed to be running away from explosions in the desert.","You know this one — pyramids, a forest fight, a dying mentor whispering matrix-related instructions, and two robots whose entire characterization was a regrettable creative decision.","Megan Fox bent over a motorcycle in slow motion. That was the marketing. That was also most of the movie."
"Transformers: Rise of the Beasts",2023,"A 2023 reboot-ish entry that reached back into the 90's toy aisle for the gorilla, the cheetah, and the rhinoceros, which is a sentence I never expected to type.","Set in 1994 Brooklyn, which the film signals by playing Wu-Tang and Notorious B.I.G. roughly every four minutes in case you forgot what year it was.","Here's what I know about you right now — you stopped watching this franchise a long time ago and you came back for this one because the trailer had a robot gorilla. It's fine.","Optimus Primal. Yes, that's a different character from Optimus Prime. Yes, they're both in it. Yes, this is the sentence I'm writing."
"Triangle of Sadness",2022,"A 2022 Palme d'Or winner that spends its second act on a yacht where rich people vomit in slow motion for what feels like an entire reel of film.","The captain is a drunk Marxist, the guests are billionaires, and the toilet maid ends up running the island, which is the kind of thesis the movie hands you with both hands.","This is the part where I stop being polite about it — there is an extended sequence where champagne, caviar, and stomach contents become the same substance. You'd remember.","Three words. The first is a shape. The second is ""of."" The third is a feeling. It's also a term for the wrinkle between your eyebrows."
"Troy",2004,"A 2004 sword-and-sandal epic that adapts Homer by cutting out all the gods, because apparently the divine intervention of the entire Greek pantheon was the part audiences wouldn't believe.","A thousand ships, a wooden horse, and Achilles played by a man whose hair has its own SAG card.","I'm going to need you to search your memory more aggressively — Helen, Hector, Paris, a heel-arrow, and a city whose name later became a brand of condoms.","The horse. The walls. The face that launched a thousand ships. One-word title, you're standing in it."
