title,year,hint_1,hint_2,hint_3,hint_4
"Sing",2016,"An animated film from 2016 built on the radical premise that audiences will pay to watch cartoon animals do karaoke for ninety minutes, and the box office said yes, they will.","A pig housewife, a teenage gorilla who would rather not join the family crime business, and a porcupine breakup montage — the emotional range of a talent show recap with better lighting.","You've seen this. A koala theater impresario, a typo on a flyer that promises a hundred thousand dollars instead of a thousand, and a bank of glass tanks full of squid functioning as stage lights.","Buster Moon. The title is what the animals do. One syllable. Go."
"Sinners",2025,"A 2025 swing for the fences from a filmmaker who decided the way to follow up superhero franchises was a period vampire movie about the Mississippi Delta blues.","A juke joint opening night that turns into the worst possible guest list problem, with a soundtrack that wants very badly to be nominated for something.","Either you haven't seen this, or you have and that's somehow worse — twin brothers, both played by the same leading man, returning to the Jim Crow South with a truck full of plans and a bag full of money.","Michael B. Jordan times two, garlic optional, and the title is what the vampires politely consider their guests."
"Sixteen Candles",1984,"A 1984 coming-of-age film from the patron saint of suburban teenage misery, who somehow convinced a generation that their hallway humiliations were worthy of a soundtrack.","A girl turns a milestone age and her entire family forgets, which is either devastating or the best excuse to be a brat about it for ninety minutes.","At this point I have to ask — does a freckled redhead, a dreamy senior named Jake Ryan, and a foreign exchange student named Long Duk Dong ring any bells? Yes, the 80s were a different time.","A pink birthday cake on a glass table, two characters leaning in, and the number on the cake matches the first word of the title."
"Skyfall",2012,"A 2012 entry in the longest-running franchise in cinema, directed by a man who normally makes movies about repressed Englishmen in interior rooms, which turned out to be exactly the right resume.","An aging spy, a mother-figure boss in serious trouble, and a villain with blonde hair and dental issues who really wants to talk to her about her parenting choices.","The fact that you're still guessing tells me something about you — a Scottish estate, a theme song by Adele that won the Oscar, and the answer is literally the name of the house.","007. M. A gunbarrel sequence and a final stand at the family manor. The title is one word and Adele sang it for four minutes straight."
"Sleepless in Seattle",1993,"A 1993 romantic comedy that argued the path to true love runs through a late-night call-in radio show and the top of a very famous skyscraper.","A widowed architect, his unusually proactive son, and a journalist on the other side of the country who decides stalking is romantic if the lighting is soft enough.","I want you to think carefully about what you actually know — an Empire State Building meet-cute, a constant homage to An Affair to Remember, and a Pacific Northwest city in the title.","Tom Hanks and Meg Ryan, a kid with a plan, and the title tells you the condition and the city."
"Slumdog Millionaire",2008,"A 2008 Best Picture winner directed by a British filmmaker best known up to that point for heroin addicts and zombies, who pivoted to Mumbai and a game show and walked out with eight Oscars.","A young man's entire life flashes back in the format of trivia questions, which is either profound or the most efficient screenplay structure ever invented.","Let me be direct with you — a kid from the slums on the Indian version of a famous quiz show, accused of cheating because the police can't believe he knows the answers, and a Bollywood dance number over the end credits.","The final question. The lifeline. A train station reunion. The title is what he is and what he becomes, separated by one word."
"Smile",2022,"A 2022 horror film expanded from a short, built around the simple unsettling premise that the human face, held a beat too long, becomes a threat.","A therapist inherits a curse from a patient mid-session, which is the kind of workplace hazard they really should cover in graduate school.","You know this one. A trauma that passes from witness to witness like a virus, a corkboard of red string, and an unblinking grin held until the muscles give out.","The marketing put strangers in the stands at baseball games doing the title at the camera. The title is the facial expression. One word."
"Smile 2",2024,"A 2024 sequel that asked what happens when you give the curse from the first film the worst possible host — someone whose entire job is being watched by millions.","A pop star on the eve of a comeback tour starts seeing things, and the film turns her rehearsal studios and arena stages into a slow-motion panic attack with choreography.","Here's what I know about you right now — you remember the first one, the curse passes the same way, and this time the protagonist is a Lady Gaga-adjacent global superstar with a tabloid past.","Same expression, same rules, one bigger number at the end of the title. You can do this."
"Smokey and the Bandit",1977,"A 1977 good-ol'-boy chase picture that exists almost entirely because someone decided Coors beer east of the Mississippi was a federal-level moral crisis.","A mustachioed folk hero in a black Trans Am runs interference for an eighteen-wheeler hauling contraband lager, and somewhere along the way picks up a runaway in a wedding dress.","This is the part where I stop being polite about it. A sheriff named Buford T. Justice is screaming into a CB radio about a ""sumbitch"" for two hours straight.","""Eastbound and down, loaded up and truckin'."" The lawman's nickname is the first word. The outlaw's nickname is the third. You can do this."
"Sonic the Hedgehog",2020,"A 2020 video game adaptation that became famous mostly because the internet collectively bullied the studio into redesigning the protagonist's teeth.","A blue speedster from another dimension hides out in small-town Montana and befriends the local sheriff, which is a premise no one asked for but somehow works.","I'm going to need you to search your memory more aggressively. A bald villain with a magnificent mustache, golden rings, and a small spiky creature who runs faster than physics allows.","Sega's mascot since 1991. He collects rings, hates Dr. Robotnik, and his name is the first word of the title."
"Sonic the Hedgehog 2",2022,"A sequel to a video game adaptation that was nearly derailed by the internet's collective refusal to accept a CGI character's teeth.","A blue creature and his two-tailed fox sidekick race a mustachioed villain to a magical emerald, which is exactly the plot of the cartridge your cousin had in 1992.","Consider what you're admitting by not having gotten this yet. The villain wears a giant red coat and screams a lot, and a furry red echidna shows up to punch things.","Gotta go fast. Sega. Rings. You're embarrassing both of us."
"Sonic the Hedgehog 3",2024,"The third entry in a franchise that took a video game mascot, gave him a small-town sheriff buddy, and somehow made it work three times in a row.","A black-and-red rival shows up with telekinesis, a tragic backstory, and the energy of every angsty teenager who ever drew on their jeans with a Sharpie.","Take a breath. Think about what decade you're in. A blue speedster, his fox friend, his red echidna friend, and now a brooding edgelord with quills.","The villain returns with his iconic mustache fully grown in. Shadow joins the roster. Run with it."
