title,year,hint_1,hint_2,hint_3,hint_4
"Monsters University",2013,"A prequel from the animation studio that figured out you could mine an entire decade of profit out of two characters who work in a factory.","The story hinges on the revelation that the small one-eyed green guy, despite wanting it more than anyone, is simply not scary — which is the most brutal lesson a children's film has delivered in years.","You've seen this. A campus comedy with fraternities, a dean who is part dragon part centipede, and a big furry blue guy learning humility.","Mike and Sulley, but younger, in letterman sweaters, before they were employed at the scream factory."
"Monsters, Inc.",2001,"An early-aughts animated film built on the premise that the things under your bed are unionized and have quarterly performance reviews.","A toddler in a purple onesie wanders through a door and terrifies an entire industrial complex of fanged creatures, which is roughly how parenting actually works.","Either you haven't seen this, or you have and that's somehow worse — a big blue furry guy, a one-eyed green sidekick, and a little girl who calls him ""Kitty.""","The scream factory. Boo. A closet door used as a portal. The company name is right there in the title and I'm not saying it."
"Moonlight",2016,"A 2016 film made for about a million and a half dollars that won Best Picture in the most chaotic envelope mix-up in Oscar history.","Told in three chapters with three different actors playing the same person, a structural choice that sounds like a film school exercise and somehow becomes one of the most quietly devastating things put on screen.","At this point I have to ask — does a blue-tinted beach scene, a swimming lesson, and a diner reunion ring any bells?","Little. Chiron. Black. Three names, one man, and the title is what's reflecting off the water in that beach scene."
"Moonraker",1979,"The franchise looked at Star Wars making a billion dollars and said ""what if our guy went to space too,"" with absolutely no further questions asked.","A metal-toothed henchman returns, falls in love with a pigtailed blonde at first sight, and switches sides, which is the kind of character arc that only happens when a studio is panicking.","The fact that you're still guessing tells me something about you — specifically that you may have missed the one in this long-running spy series where the gadget budget went into orbit.","Agent 007. A laser battle in zero gravity. Jaws. Dr. Holly Goodhead, which is a name an adult was paid to write down."
"Moonstruck",1987,"A late-80s romantic comedy that treats a Brooklyn Italian-American family like an opera, complete with a full moon doing most of the emotional labor.","A widow gets engaged to a man she doesn't love, then falls for his one-handed, opera-obsessed younger brother who screams about ruined lives in a bakery basement. Romance!","I want you to think carefully about what you actually know — a slap across the face, the words ""Snap out of it!"", and a leading lady who won an Oscar despite spending half the film yelling at her own family.","""That woman didn't know what she had"" — a baker with a wooden hand, a full moon over Brooklyn, and a Best Actress trophy for the woman with the one name."
"Moulin Rouge!",2001,"A turn-of-the-millennium musical that decided the way to honor 1899 Paris was to have the characters sing Madonna and Elton John at each other.","A consumptive courtesan, a penniless writer, and a tiny green fairy advocating absinthe — the whole thing edited like a music video having a panic attack.","Let me be direct with you — a Parisian cabaret, a red windmill, and a doomed love story scored to ""Your Song"" should be doing more work for you than it apparently is.","Satine. Christian. The Duke. ""Come what may."" The windmill is red and the title says so in French."
"Mufasa: The Lion King",2024,"A 2024 prequel nobody specifically asked for, justifying its existence by explaining how a certain cub from the original got his name on the marquee.","A photoreal animated origin story about an orphaned cub befriending the heir to a savanna throne — and yes, that friendship ends about as well as you'd expect.","You know this one — it's the backstory of the regal father figure who dies tragically in the 1994 original, now stretched into its own movie with musical numbers.","Taka grows up to be Scar. That's your hint. The title is the other guy's name, colon, the franchise you already know."
"Munich",2005,"A 2005 film from a director best known for dinosaurs and aliens, who decided to spend a year making a thriller about Mossad assassins and the moral cost of revenge.","A team of operatives works through a checklist of targets across Europe while slowly realizing that the checklist is the problem, not the solution.","Here's what I know about you right now — you've been given the year, the city, the Olympics, and a hostage crisis, and you're still circling the runway.","Black September. A pre-Bond Daniel Craig with a gun. The title is the city where the Games were held."
"Murder on the Orient Express",2017,"A 2017 remake of an Agatha Christie classic, made primarily so its director could wear the most ambitious mustache in modern cinema.","A luxurious snowbound train, twelve suspects, one stabbed American, and a Belgian detective who solves crimes by being insufferably precise about everything including his breakfast eggs.","This is the part where I stop being polite about it — a fancy train, a dead body, Hercule Poirot, and a whodunit where the answer is essentially ""all of them.""","Three words. The first is what happened. The second is a preposition. The last two are a famous luxury train running from Paris to Istanbul. Go."
"My Best Friend's Wedding",1997,"A late-90s romantic comedy that dared to make its protagonist the villain of her own love story, which was either brave screenwriting or a documentary about every maid of honor ever.","A food critic discovers, with roughly four days' notice, that the platonic pal she's been keeping on layaway is marrying a 20-year-old heiress, and she responds with the emotional maturity of a corporate espionage plot.","I'm going to need you to search your memory more aggressively, because somewhere in there is a karaoke scene featuring a tone-deaf blonde butchering ""I Just Don't Know What to Do with Myself,"" and the entire restaurant loving her for it.","Crème brûlée. Jell-O. A seafood restaurant singalong of ""I Say a Little Prayer."" The bride is Cameron Diaz, the title is in the tagline, and you're welcome."
"My Left Foot: The Story of Christy Brown",1989,"A late-80s biopic so committed to its lead performance that it permanently changed how award-season actors prepare — and how craft service tables have to be arranged.","An Irish working-class family raises a boy everyone assumes is mentally absent, until he scrawls a single word on the floor with a piece of chalk and the room reorganizes itself around him.","Consider what you're admitting by not having gotten this yet. The title is a body part. On a specific side.","He paints with it. He writes with it. He proposes with it. It's in the title."
