title,year,hint_1,hint_2,hint_3,hint_4
"The Queen",2006,"A 2006 drama about a week in 1997 when a monarchy that had survived eight centuries nearly got toppled by a bouquet of cellophane-wrapped flowers outside a palace gate.","A newly elected Prime Minister with a toothy grin tries to explain to a woman in a headscarf and Wellingtons that the public would like some feelings, please, preferably on television.","You've seen this. A stag in the Scottish Highlands, a stiff upper lip cracking by millimeters, and an Oscar-winning performance built almost entirely on small frowns.","The title is her job. The job is the answer. Long may she reign over your guessing."
"The Reader",2008,"A 2008 prestige drama about postwar German guilt, statutory affairs, and the surprisingly cinematic act of reading aloud.","A teenage boy in 1950s Berlin gets seduced by an older tram conductor who likes to be read to before things get going, which is one way to encourage literacy.","Either you haven't seen this, or you have and that's somehow worse. The older woman turns out to have a past involving a uniform, a camp, and a secret she'd rather die than admit she can't read.","Won Best Actress at the Oscars. The title is her relationship to the boy, except she isn't one — he is."
"The Remains of the Day",1993,"A 1993 Merchant Ivory adaptation of a Kazuo Ishiguro novel about the English aristocracy doing what they do best — repressing every feeling until the empire collapses around them.","A butler so committed to his duties that he keeps serving drinks while his father dies upstairs, which is either professionalism or a cry for help dressed in tails.","At this point I have to ask — does a stately home, a Nazi-sympathizing lord, a housekeeper who loves a man incapable of loving back, and a road trip through the English countryside ring any bells?","The title is what's left at the end of a life spent ironing newspapers. Two words bookending a third."
"The Rescuers",1977,"A late-70s Disney effort from the stretch where the studio was making feature animation on what appears to be a coffee budget and a prayer.","The plot is driven by mice who work for an international aid organization headquartered in the basement of the United Nations, which is honestly more functional than the actual UN.","The fact that you're still guessing tells me something about you — specifically that you didn't have an older sibling with a VHS collection in 1977.","Bernard and Bianca. Two mice. They rescue people. The title is exactly what they do for a living, pluralized."
"The Revenant",2015,"A 2015 film whose entire production strategy was ""what if we made the actors as miserable as the characters and see what happens at the Oscars.""","A frontiersman gets mauled by a bear, buried alive, eats a raw bison liver on camera, and crawls through several hundred miles of Canada to finally win his leading man an Academy Award.","I want you to think carefully about what you actually know — the bear scene. Everyone knows the bear scene. Start there and work backwards.","Leonardo DiCaprio, frozen, bleeding, grunting through a beard. He finally got his Oscar. The title means ""one who returns,"" and that's all you're getting."
"The Right Stuff",1983,"An early-80s epic about the moment America decided that strapping men to rockets was a reasonable foreign policy response to the Soviets doing it first.","Test pilots in the Mojave breaking the sound barrier before breakfast, followed by seven crew-cut volunteers being weighed, measured, and asked to provide samples in jars while the press camped outside.","Let me be direct with you — Mercury Seven, Chuck Yeager, and a film that takes three hours and four minutes to explain why these men were different from you and me.","It's what the astronauts had. It's what made them astronauts. Two words. The second word means ""material."" Go."
"The Rock",1996,"A 1996 Jerry Bruckheimer production where the explosions have explosions and the editing was apparently done by someone being electrocuted.","A former British spy in his sixties, the only man to ever escape Alcatraz, teams up with a twitchy FBI chemist to stop rogue Marines from gassing San Francisco.","You know this one. A prison island in the bay, VX nerve gas in green glass beads, and a leading man delivering every line like he's performing Shakespeare during a seizure.","The setting is the title. The setting is also a famous prison. The setting is also Sean Connery's final action vehicle worth mentioning."
"The Santa Clause",1994,"A mid-90s family comedy that took a sitcom dad known for grunting at power tools and slowly, magically, transformed him into a department-store icon.","The premise hinges on a legal loophole hidden in fine print on a business card, which is the most 1994 way imaginable to handle a mythological succession.","Here's what I know about you right now — you remember the scene where he wakes up, the weight gain is a plot point, and there's a son named Charlie who absolutely believes.","Read the fine print. Whoever puts on the suit accepts the terms. The contractual loophole IS the title — and it's a homophone pun."
"The Secret Agent",2025,"A 2025 Brazilian thriller that walked out of Cannes with Best Director and Best Actor, set during a Carnival where the paranoia is louder than the drums.","Recife, 1977. A technology expert on the run, a military dictatorship that doesn't believe in due process, and a severed leg that becomes a recurring municipal problem.","This is the part where I stop being polite about it. The protagonist is a man with a profession in the title, operating covertly, during a period when the Brazilian state was very interested in men like him.","Two words. The first is what he's trying to keep. The second is what he is. Carnival masks have never worked harder."
"The Secret Life of Pets 2",2019,"A 2019 Illumination sequel about what your dog does when you're not home, which is apparently a lot more therapy than you'd expect.","A nervous terrier visits a farm, meets a gruff sheepdog voiced by Harrison Ford in one of his least Harrison Ford performances, and learns to be brave around turkeys.","I'm going to need you to search your memory more aggressively. A yellow minion-adjacent animation studio, a tiny white dog with a Napoleon complex, and a follow-up nobody asked for but everyone's kid watched fourteen times.","The title tells you it's a sequel. The first three words tell you what the animals have. The last word tells you what they are."
"The Shape of Water",2017,"A filmmaker obsessed with monsters made his most romantic film by deciding the monster was the love interest, which is either deeply progressive or deeply concerning depending on your dating history.","A mute janitor falls for a captive amphibious creature in a Cold War lab, and the film expects you to root for them, and you do, because the alternative is rooting for a Baltimore government scientist with a cattle prod.","Consider what you're admitting by not having gotten this yet. Teal. Everything is teal. The bathroom floods. There is a dance number.","A fairy tale where the princess is a janitor and the prince has gills. It won Best Picture. The title is a geometric noun followed by a liquid."
"The Social Network",2010,"A film about a website you've been doom-scrolling for two decades, written by a man who types dialogue faster than most people think.","It opens with a breakup in a bar and ends with a man refreshing a friend request. Everything in between is depositions and hoodies.","Take a breath. Think about what decade you're in. Now think about the website your aunt uses to share minion memes — who do you think invented it?","Harvard. Rowing twins. ""You're going to go through life thinking girls don't like you because you're a nerd."" The site rhymes with Spacebook."
"The Spy Who Loved Me",1977,"The tenth entry in a franchise that by 1977 had figured out the formula was just bigger sets, sillier villains, and an underwater base that would never pass a building inspection.","A British agent and a Soviet agent forced to team up, flirt aggressively, and pretend the Cold War is a minor inconvenience compared to their sexual tension.","Between you and us, this is embarrassing — a Lotus Esprit that drives into the ocean and becomes a submarine, and a seven-foot henchman with metal teeth.","Jaws bites a shark. The white ski suit. The Union Jack parachute. 007, gentlemen, prefers it shaken."
