title,year,hint_1,hint_2,hint_3,hint_4
"The Goodbye Girl",1977,"A 1977 romantic comedy from a playwright who could not write a scene without three jokes per page, even when the scene was about heartbreak.","A struggling actor is forced into an off-Broadway role as Richard III played as a flamboyant stereotype, which is the kind of humiliation only the 1970s thought was funny.","You've seen this. A single mother, her precocious daughter, and a sublet apartment containing one very irritated actor who meditates nude on the balcony.","Richard Dreyfuss won Best Actor for this. The title is what you say when someone leaves — twice."
"The Goonies",1985,"A 1985 adventure produced by Spielberg, written by Chris Columbus, and powered entirely by the belief that suburban children should be allowed to handle booby traps without adult supervision.","A group of misfit kids in the Pacific Northwest follow a pirate map through underground tunnels while a family of criminals chases them, and somewhere in there a deformed man in a Superman shirt eats a Baby Ruth.","Either you haven't seen this, or you have and that's somehow worse — there's a kid named Chunk doing the Truffle Shuffle, and you still can't get there.","""Hey you guuuuys!"" The tagline literally tells you what they call themselves."
"The Grand Budapest Hotel",2014,"A filmmaker whose entire aesthetic could be described as ""dollhouse with trauma"" delivers his most symmetrical fever dream yet, set in a fictional European country that exists entirely in the color pink.","A concierge with impeccable manners, a flair for elderly blonde women, and a custom cologne called L'Air de Panache flees across a snowy continent for a painting called ""Boy with Apple.""","At this point I have to ask — are you familiar with the work of a Texan director who shoots every frame like a wedding invitation? Lobby boys, funicular rides, a prison break involving pastries?","Mendl's bakery boxes. A pencil-thin mustache. A concierge played by Ralph Fiennes reciting poetry mid-shootout. The location in the title rhymes with ""band rude tapest motel."""
"The Help",2011,"A 2011 film about race in 1960s Mississippi told primarily from the perspective of the white woman writing it down, which became a whole conversation later.","A pie. That's all I'll say. A pie, an act of revenge, and a sentence about its filling that you cannot unhear.","The fact that you're still guessing tells me something about you — namely that you skipped the Oscar campaign where one supporting performance won everything that wasn't nailed down.","Aibileen, Minny, and Skeeter. The title is what these women are called in the household, and the household is the entire point."
"The Hobbit: The Battle of the Five Armies",2014,"The third film of a trilogy stretched from a children's book that you could read in a long weekend, which is either ambitious filmmaking or a contractual obligation.","A dragon gets dispatched in the opening fifteen minutes, after which everyone spends two hours arguing over a mountain of gold while orcs march in from offscreen.","I want you to think carefully about what you actually know — a wizard, thirteen dwarves, one reluctant burglar with furry feet, and a New Zealand-shot prequel saga concluding in a very large fight.","Bilbo. Thorin. Erebor. The shorter, hairier cousin to a much more famous Ring trilogy."
"The Hobbit: The Desolation of Smaug",2013,"A 2013 middle chapter that exists primarily so the dragon can finally show up and deliver a monologue in Benedict Cumberbatch's lowest register.","A barrel ride down a river while orcs and elves fight on the banks — a sequence invented almost entirely for the film because the book apparently wasn't action-figure-ready.","Let me be direct with you. There's a dragon, his name is in the title, and he sleeps on a pile of gold inside a mountain.","Bilbo. A ring he doesn't mention to anyone. A talking dragon voiced by Sherlock. You're nearly there."
"The Holdovers",2023,"A 2023 film shot to look like it was made in 1971, down to the film grain, the zoom lens, and the kind of melancholy that requires a wool sweater.","A boarding school classics teacher with a lazy eye, fish breath, and a vocabulary calibrated to humiliate teenagers gets stuck on campus over Christmas with a kid no one wanted to take home.","You know this one. New England prep school, snow on the ground, a grieving cafeteria manager, and a curmudgeon who slowly reveals he's a human being underneath the tweed.","Think of the word for students left behind on campus during the holidays. That's it. That's the title."
"The Hours",2002,"A 2002 drama in which three women in three time periods all consider their lives while a Philip Glass score insists you feel something every eight seconds.","One of the era's most famous actresses wore a prosthetic nose to play Virginia Woolf and won the Oscar, which Hollywood took as a sign that prosthetic noses were the path forward.","Here's what I know about you right now — you're not thinking about a Mrs. Dalloway adaptation, and you should be.","Nicole Kidman, Julianne Moore, Meryl Streep. A novel being written, a novel being read, a novel being lived. The title is a unit of time."
"The Hunger Games: Catching Fire",2013,"The middle chapter of a young adult dystopia franchise that taught a generation of teenagers the word ""Panem"" and the concept of wealth inequality.","A victory tour goes badly, a new arena involves a poisonous fog and angry baboons, and the dress literally bursts into flames on national television.","This is the part where I stop being polite about it. A girl with a bow, a boy with bread, a televised death match, and a President with a white beard who smells like roses and blood.","Katniss. Peeta. District 12. The mockingjay pin and an arena shaped like a clock — the subtitle is two words and the second one is what the dress does."
"The Hunger Games: Mockingjay - Part 1",2014,"The penultimate chapter of a YA franchise, which in the 2010s meant splitting the final book in half to sell two tickets instead of one.","Our heroine spends most of the runtime in an underground bunker filming propaganda videos, which is somehow more harrowing than the previous arena death matches.","I'm going to need you to search your memory more aggressively. District 13, a rescue mission for a brainwashed baker, and a song called ""The Hanging Tree"" that somehow charted on Billboard.","The title bird is a hybrid of a mockingbird and a jabberjay. This is the first half of the finale — the next word after the dash is the one Hollywood loves to split things into."
"The Hurt Locker",2008,"A 2008 film about the Iraq War that won Best Picture by being almost entirely about one man's psychological need to defuse things that would kill a normal person instantly.","The protagonist treats bomb disposal the way some people treat extreme sports — except the consequence isn't a sprained ankle, it's becoming a fine mist.","Consider what you're admitting by not having gotten this yet. A man in a padded suit walking down an empty Baghdad street toward something that wants to detonate him.","It beat Avatar at the Oscars, which was a marriage that ended in divorce, both literally and statistically."
