title,year,hint_1,hint_2,hint_3,hint_4
"How the Grinch Stole Christmas",2000,"A live-action adaptation of a beloved Dr. Seuss book that opted to bury its lead actor under so much green latex that his entire performance is delivered through eyebrow muscle and dental work.","The villain lives on a mountain, hates joy, has a dog he's bullied into pulling a sleigh, and is somehow still more well-adjusted than most people during the holidays.","You've seen this. Whoville. A heart that grows three sizes. A roast beast.","A green grump in a Santa suit, played by a rubber-faced Canadian who spent eight hours a day in the makeup chair."
"How to Train Your Dragon",2010,"A 2010 DreamWorks film that finally figured out the studio's identity wasn't pop-culture references and celebrity voices — it was actually having a heart.","A scrawny Viking teen invents the entire field of reptile behavioral science by realizing the giant winged lizard might just be scared and missing some teeth.","Either you haven't seen this, or you have and that's somehow worse. There's a flying scene set to a soaring Scottish score that made every kid in 2010 want a scaly black pet.","Toothless. Hiccup. A Viking village that solves every problem with axes until one boy tries listening instead."
"How to Train Your Dragon 2",2014,"A sequel that did the unthinkable — killed off a parent on screen in a kids' movie and didn't blink.","Five years later, the scrawny Viking is taller, the dragon is still adorable, and mom shows up out of nowhere wearing what appears to be a dragon-themed Halloween costume she's been working on for two decades.","At this point I have to ask — do the words Hiccup, Toothless, and Berk mean anything to you, or are we just out here?","It's the second one. Same boy. Same dragon. Now with more wingsuit."
"How to Train Your Dragon: The Hidden World",2019,"The closing chapter of an animated trilogy that ends on the bold creative choice of ""what if the dragon got a girlfriend.""","A white female Night Fury — sorry, ""Light Fury"" — shows up, and our hero must accept that his best friend has discovered romance and is no longer emotionally available.","The fact that you're still guessing tells me something about you. We are on movie three of a series about a boy and a dragon. The boy's name is Hiccup.","Toothless flies off into the sunset with his girlfriend. Roll credits. The franchise has a number after it and this one's the third."
"Howards End",1992,"A Merchant Ivory production so thoroughly Edwardian it practically arrives with its own porcelain tea service and a quiet judgment about your posture.","A house gets willed to one woman on a scrap of paper, the family burns the note, and the rest of the film is everyone pretending that was a reasonable thing to do.","I want you to think carefully about what you actually know. The novel was by E.M. Forster. The setting is England before the Great War. The title is the name of a house.","The house. The will. The bookcase that falls on Leonard Bast. The title ends with a possessive that the British famously refuse to punctuate."
"Hugo",2011,"A famously violent American director made a 3D children's film about the early history of cinema and somehow nobody told him this would confuse his fanbase.","A boy lives inside the clocks of a Parisian train station and accidentally rescues the career of Georges Méliès, which is a sentence that makes sense only inside this movie.","Let me be direct with you. The tagline is doing most of the heavy lifting and you're still here. A boy. A train station. A broken automaton.","Directed by Martin Scorsese, which is a sentence that surprises people every single time."
"I Am Legend",2007,"A 2007 post-apocalyptic film set in an eerily empty Manhattan, which was either a triumph of visual effects or a preview of weekday mornings during a pandemic.","A scientist, his German Shepherd, and a mannequin he flirts with at the video store — the loneliest love triangle in cinema.","You know this one. The Fresh Prince, alone in New York City, hunting deer through Times Square with a dog named Sam.","Based on a Richard Matheson novel that's been adapted roughly four times. The title is two words, both of which are pronouns or nouns you use every day."
"I Know What You Did Last Summer",2025,"A 2025 legacy sequel to a 1997 slasher, because Hollywood has officially run out of ideas and is now recycling the recyclings.","Five attractive twentysomethings cause a fatal accident, swear themselves to secrecy, and are absolutely stunned when a hook-wielding stranger turns out to be a better detective than the entire local police force.","Here's what I know about you right now — you're stalling, and somewhere a fisherman in a slicker is sharpening something for the occasion.","The title is a sentence. A full, complete, declarative sentence. Subject, verb, object, and a season. Type it out."
"I'm Still Here",2010,"A 2010 mockumentary that fooled half of Hollywood and most of Letterman's audience into believing an Oscar-nominated actor had genuinely lost his mind.","The subject grows a deranged beard, announces a hip-hop career, and snorts cocaine off a sex worker's chest while the cameras roll. All of it, allegedly, performance art.","This is the part where I stop being polite about it — the title is a contraction plus two words, and the second word is a location adverb.","Casey Affleck directed his brother-in-law through a year-long prank on the public. The title is what the subject insists, despite all evidence suggesting otherwise."
"Ice Age: Dawn of the Dinosaurs",2009,"A 2009 sequel in a franchise that should have ended after the first one but instead kept defrosting itself for another decade.","A mammoth, a sloth, and a saber-toothed tiger walk into a subterranean jungle, which sounds like a bad joke and is, in fact, the third installment of a billion-dollar series.","I'm going to need you to search your memory more aggressively — a prehistoric herd, an underground world full of giant lizards, and a squirrel who still cannot catch that acorn.","The franchise is named after a frozen epoch. This chapter adds the giant reptiles everyone learned about in second grade. Smash them together."
"In the Bedroom",2001,"A 2001 indie that took its title from a lobster trap term and used it as a slow-burn metaphor for what happens when too many bodies are forced into too small a space.","A New England family quietly disintegrates over the course of a summer, and by the time anyone raises their voice you've already been holding your breath for an hour.","Consider what you're admitting by not having gotten this yet. The setting is a room. A specific one. It's in the title.","Sissy Spacek slaps Marisa Tomei. That's the scene people remember. The title is a location in a house."
"In the Name of the Father",1993,"A 1993 film that took a real miscarriage of British justice and turned it into a courtroom drama so furious it should have come with a warning label for the Crown.","A petty Belfast crook gets railroaded into a bombing confession, then spends fifteen years in a cell next to the dad he spent his whole life disappointing.","Take a breath. Think about what decade you're in. The Troubles, a Guildford pub, a confession beaten out of an innocent man, and a barrister who finally cracks the case open.","Daniel Day-Lewis screaming ""I'm a free man, and I'm going out the front door"" — the title is three prepositions and two nouns, and you've already heard one of them."
"Incredibles 2",2018,"A sequel that arrived fourteen real-world years after the original, while the characters themselves picked up roughly fourteen seconds later.","Mom goes to work fighting crime, Dad stays home discovering that new math is a more formidable villain than anyone in a cape.","Between you and me, this is embarrassing. The first one had a number you're not saying. Add one.","Jack-Jack fights a raccoon. Edna babysits. The family's surname is the answer plus a Roman numeral."
"Independence Day",1996,"A 1996 blockbuster that destroyed the White House in its trailer and convinced an entire country that was a perfectly normal thing to put in a summer movie.","Aliens arrive, hover menacingly over major landmarks for a bit, and then a fighter pilot punches one in the face. The screenplay took about three weeks. It shows. It works.","Whatever you're doing isn't working. The movie is named after a holiday. The holiday is in July.","The President gives a speech. Will Smith says ""welcome to Earth."" The title is a federal holiday."
"Inglourious Basterds",2009,"A 2009 film by a director who decided that World War II would have ended better with a movie theater fire and a baseball bat.","A Nazi colonel orders a glass of milk and somehow makes it the most terrifying beverage order in cinema history.","I want to give you the benefit of the doubt here, but — the title is misspelled. Both words. On purpose.","Christoph Waltz won an Oscar for this. The title is two words, both spelled wrong, and one of them rhymes with ""plastered."""
"Inside Out",2015,"A 2015 animated film that asked what's going on in an eleven-year-old's head, and then answered the question with more emotional precision than most therapy sessions.","The premise: five anthropomorphic feelings run a control room in a child's brain, and the villain of the story is a console with too many buttons and a memory of a sad imaginary friend.","We've been at this long enough. The title is two words. They are opposites. One is a direction, one is the other direction.","Joy, Sadness, Anger, Fear, Disgust. The title is a preposition and its opposite."
"Inside Out 2",2024,"A 2024 sequel that arrived precisely when its target audience needed a movie about Anxiety taking over the control room, which is to say, immediately.","Puberty hits, and suddenly the headquarters has new tenants — Envy, Embarrassment, Ennui, and a redheaded panic attack running the board.","You're making this harder than it is. Same title as the first one. Add a number.","Riley plays hockey. Anxiety shows up with luggage. The title is the previous answer plus a 2."
"Interview with the Vampire",1994,"A mid-nineties gothic prestige picture that convinced everyone the eighteenth century was mostly candlelight, velvet, and emotionally devastated bachelors.","A journalist sits down with an immortal in a San Francisco apartment and gets two centuries of grief, bloodlust, and roommate problems for the price of a tape recorder.","Look, I'm not judging you. I am, but I'm not showing it. A plantation in Louisiana, a creepy little girl who never ages, and a pair of fanged dandies arguing like a married couple for two hundred years.","Lestat. Louis. Claudia. The title is exactly what the reporter is conducting, and exactly what the subject happens to be."
"Iron Man 3",2013,"A 2013 sequel that opens with a Christmas-set voiceover and a Marvel hero having a full-blown panic attack, which was novel at the time.","The villain turns out to be a British actor doing a bit, which annoyed the comic book fans and delighted approximately everyone else.","This one has been on television roughly four hundred times. The hero wears a metal suit. The title is a metal, a body part, and a number.","Tony Stark. The Mandarin. A kid in Tennessee. The title is the previous two answers plus a 3."
"It",2017,"A 2017 adaptation of a doorstop Stephen King novel that turned a 1980s coming-of-age story into the highest-grossing horror film of its moment.","A clown lives in the sewer of a small Maine town and emerges every twenty-seven years to eat children, which is a more reliable schedule than the local bus system.","The audience at home figured this out. The title is two letters. A pronoun. The most generic one available.","Pennywise. A red balloon. The title is what you call something when you don't know what it is."
"It Ends with Us",2024,"A 2024 adaptation of a wildly popular novel whose press tour became more dramatic than the film, which is a real achievement given the subject matter.","A florist opens her dream shop, falls for a charming neurosurgeon, and slowly realizes that charm and safety are two very different things.","You've seen this. Or at least you've seen the lawsuits, the deposition clips, and the slow-motion red carpet body language analysis on every algorithm you own.","A woman named Lily Bloom. A first love who comes back. A pattern that has to end — the title is essentially a complete sentence telling you what happens."
"Jaws 2",1978,"The sequel nobody needed to a film that essentially invented the summer blockbuster, made because a studio looked at a pile of money and thought, ""What if there were two piles.""","A police chief on a New England island tries to warn everyone that it's happening again, and everyone treats him like the unstable one. Classic.","Either you haven't seen this, or you have and that's somehow worse — because this is the one with the teenagers on sailboats and a helicopter that does not have a great afternoon.","The tagline literally tells you it's the second time. There is only one franchise where going back in the water is the problem."
"Jerry Maguire",1996,"A late-90s romantic comedy that convinced an entire generation that financial collapse and a manifesto written at 2 a.m. were viable career moves.","A sports agent has a crisis of conscience, writes a mission statement, gets fired, and ends up with exactly one client who screams at him about money for two hours.","At this point I have to ask — do the phrases ""Show me the money"" and ""You had me at hello"" ring any bells, or are we starting from scratch.","Cameron Crowe. A single mother. A small son with enormous glasses who knows the human head weighs eight pounds. The title is the agent's name."
