title,year,hint_1,hint_2,hint_3,hint_4
"Planes, Trains and Automobiles",1987,"A holiday movie about Thanksgiving that is really a movie about how strangers become friends through sustained, escalating misery in rental cars.","A man in a fur-lined coat selling shower curtain rings as fine jewelry to a woman in a motel parking lot, and somehow this is the warmest scene of the decade.","You've seen this. Two men. One bed. A pillow that turns out to be something else entirely. Ring any bells?","""Those aren't pillows!"" — and the title is three modes of transportation, in order."
"Platoon",1986,"A Vietnam film made by a director who actually went to Vietnam, which is why it feels less like a war movie and more like a confession.","Two sergeants, one scarred and one saintly, fight for the soul of a college kid who enlisted because he felt guilty about not enlisting. The saintly one dies with his arms out, in case you missed the metaphor.","Either you haven't seen this, or you have and that's somehow worse — because the image of a man on his knees in the jungle as helicopters fly over set to Barber's Adagio is not something you forget.","It won Best Picture in 1986. The title is the size of the military unit these men belong to."
"Poltergeist",1982,"A 1982 suburban horror film produced by the man who, that same summer, gave America a friendly alien — apparently he was working through some feelings about the American family.","A clown doll, a television tuned to static, and a swimming pool full of corpses the developer forgot to mention. Real estate disclosures were looser back then.","At this point I have to ask — does the phrase ""They're here"" mean nothing to you? It's literally the tagline.","A little blonde girl with her palms pressed against a TV screen. The title is a German word for a noisy ghost."
"Poor Things",2023,"A 2023 film in which a Greek filmmaker takes Frankenstein, drops it into a fish-eye lens, and asks what would happen if the monster discovered sex, socialism, and Lisbon, roughly in that order.","A woman with the brain of an infant learns about the world by sleeping her way across Europe with a preening lawyer who cannot handle her. Won Best Actress. Deservedly.","The fact that you're still guessing tells me something about you — specifically that you skipped the year's most talked-about film about a reanimated woman in puffy sleeves doing the funny dance.","Emma Stone, a steamship, and a goat-brained husband by the end. The title is two words and the first one is an expression of pity."
"Predator",1987,"A 1987 action film that begins as a muscle-bound jungle mission movie and slowly, deliberately becomes a creature feature, as if the script changed genres halfway through and nobody told the cast.","A group of commandos with biceps larger than their heads get picked off one by one by something with dreadlocks and a shoulder cannon. Also, one of them later became governor of California.","I want you to think carefully about what you actually know — invisible alien, infrared vision, a handshake that became a meme, and a mud-covered final showdown.","""Get to the choppa."" The title is what the alien is doing to them."
"Pretty in Pink",1986,"A John Hughes-written eighties film about the great American crisis of whether a girl from the wrong side of the tracks should go to prom with the rich boy or the loud boy in a bolo tie.","The original ending had her end up with the best friend, audiences hated it, they reshot it, and a generation of Duckies have been mad about it ever since.","Let me be direct with you. There is a lip-sync to ""Try a Little Tenderness"" in a record store performed by a boy in pointy shoes. That is the entire movie's soul.","The title describes both the color of the homemade prom dress and the protagonist herself."
"Pretty Woman",1990,"A 1990 romantic comedy that is, if you squint, a film about a corporate raider hiring a sex worker for a week — and yet somehow it played as a fairy tale, because the nineties were a different country.","A thigh-high boot, a Rodeo Drive shopping montage soundtracked by Roy Orbison, and a snapping jewelry box that was reportedly an on-set prank that made the final cut.","You know this one. Red opera dress. A fire escape. A man with flowers climbing up to a woman who is supposed to rescue him right back.","Julia Roberts. Richard Gere. The title is what he calls her, and also a song."
"Prizzi's Honor",1985,"A 1985 black comedy from a Hollywood legend in the twilight of his career, who cast his own daughter in a role that would win her an Oscar.","A Mafia hitman with the conversational range of a wet paper bag falls for a tax consultant in California, which is the polite term for what she actually does for a living.","Here's what I know about you right now — you've forgotten the one about two assassins who marry each other and then get contracts on each other's heads, set against a Brooklyn crime family wedding that opens the picture.","Charley and Irene. Two hitters, one marriage, and a finale where romance loses to a thrown knife. The family name is in the title."
"Promising Young Woman",2020,"A 2020 debut film that takes the rape-revenge genre, puts it in pastel candy colors, and dares you to keep smiling.","A medical school dropout spends her nights pretending to be blackout drunk in bars to teach ""nice guys"" a lesson about what they think they're getting away with.","This is the part where I stop being polite about it — a woman in a nurse costume, a bachelor party, and an ending that audiences are still arguing about five years later.","Carey Mulligan won everything that year except the Oscar. The title is three words, and it's also what people say about murder victims."
"Puss in Boots: The Last Wish",2022,"A sequel nobody was asking for that turned out to be the best-reviewed animated film of its year, which is the kind of plot twist Hollywood does not deserve.","A swashbuckling cat realizes he is on his ninth life and is being personally stalked by a wolf with twin sickles who is, quite literally, Death. For kids.","I'm going to need you to search your memory more aggressively — a sword-fighting feline in a feathered hat with an Andalusian accent, who originally showed up as a side character in a much greener franchise.","Antonio Banderas, big eyes, and the title tells you it's a fairy tale character followed by his footwear, followed by the final installment."
"Quantum of Solace",2008,"A 2008 sequel that arrived during a writers' strike, which explains why the plot feels like someone whispered it through a wall.","The villain's evil scheme is — and stay with me — cornering the Bolivian water market. Truly the stuff supervillain nightmares are made of.","Consider what you're admitting by not having gotten this yet. A tuxedo. A martini. A license. Numbered.","The second outing for Daniel Craig's blonde, brooding take on Britain's most famous spy."
"Quiz Show",1994,"A 1990s prestige drama about a 1950s television scandal, directed by an actor who became a director and then became a festival.","A Columbia professor from a famous literary family gets fed answers in an isolation booth, and discovers that integrity is surprisingly negotiable when the lighting is flattering.","Take a breath. Think about what decade you're in. Picture a television studio, an isolation booth, and a contestant being handed the questions before the cameras roll.","Two words. The first is what you do to a student before a test. The second is what this whole sordid evening pretends to be."
"Raging Bull",1980,"A 1980 black-and-white boxing film made by a director who didn't even like boxing, which somehow produced the definitive boxing film.","The lead actor gained sixty pounds for the third act, won an Oscar for it, and set a standard that has ruined the bodies of method actors ever since.","Between you and me, this is embarrassing. A middleweight champion. Slow-motion blood in the ropes. Jake LaMotta. The title is what he was.","""You never got me down, Ray."" Scorsese. De Niro. Pesci. The title is two words and one of them is an animal."
"Rain Man",1988,"A 1988 road movie that introduced mainstream America to the word ""autistic"" and to the idea that Vegas might have a math problem.","One brother counts cards at a blackjack table. The other brother is learning, slowly, that he is not the center of the universe. Guess which one wins an Oscar.","Whatever you're doing isn't working. K-Mart. Qantas. Judge Wapner at four o'clock. A silver Buick Roadmaster driven very, very carefully.","""I'm an excellent driver."" Two words. The second one is what you call an adult male. Figure it out."
"Raising Arizona",1987,"A pair of filmmaking brothers followed up a bleak neo-noir debut with this — a live-action cartoon set in a desert full of dynamite, diapers, and Hi-Karate aftershave.","An ex-convict marries the police officer who keeps taking his mugshots, which is either true love or Stockholm Syndrome with a wedding registry.","I want to give you the benefit of the doubt here, but — a baby kidnapping, a biker from a nightmare riding through fire, and a hairdo that defies several laws of physics.","""Son, you got a panty on your head."" Five babies, one couple, and they take only one — the title is a verb plus a state."
"Ralph Breaks the Internet",2018,"A sequel to a 2012 animated film, this time relocating its hulking video-game villain to the place where all human dignity goes to die — your browser.","A wrecking-ball arcade brute and a glitchy go-kart racer go online to buy a steering wheel on eBay, and somehow this leads to a musical number in a Disney princess locker room.","We've been at this long enough. A pixelated giant in overalls, his tiny candy-coated best friend, and a virus that clones him into a swarm.","The first word in the title is a man's name, very common, and the third word is the thing you are currently using to fail at this game."
"Ratatouille",2007,"A 2007 Pixar film that asked audiences to root for a rodent in a commercial kitchen, which is a brand of confidence that no health inspector shares.","A French food critic with a name like a Bond villain takes one bite and is transported back to his mother's kitchen, and a generation of adults learned what a Proustian moment is.","You're making this harder than it is. A rat. Paris. A red-haired kitchen boy being puppeteered by his hair. A dish that is also the title.","""Anyone can cook."" The little chef under the toque is named Remy. The title is a peasant vegetable dish."
"Ray",2004,"A 2004 biopic that walked away with a Best Actor Oscar, largely because the lead spent months wearing prosthetic eyelids glued shut and still made it look like a performance, not a stunt.","The film tracks a blind pianist from a Florida sharecropping childhood to the moment he fuses gospel and country into something the radio didn't know what to do with.","Look, I'm not judging you. I am, but I'm not showing it. Sunglasses, a rocking piano stool, and ""Georgia on My Mind"" — the title is the man's first name.","Three letters. A heroin addiction, a Pepsi commercial, and the song ""Hit the Road, Jack."" That's the whole hint."
"Raya and the Last Dragon",2021,"A 2021 Disney animated feature set in a Southeast Asian-inspired fantasy land, released during a year when nobody could go to the theater anyway.","The dragon, when she finally shows up, is voiced by Awkwafina and behaves like a golden retriever that has been to brunch.","This one has been on television roughly four hundred times. A warrior princess. A magical gem broken into five pieces. A quest to reunite a fractured kingdom.","The title is the heroine's name and a description of her scaly companion. Two nouns connected by ""and the Last."""
"Reds",1981,"A 1981 epic that asked Americans to spend three and a half hours sympathizing with a communist, which went about as well as you'd expect at the box office.","The film features real elderly people who actually knew the protagonist sitting in chairs and reminiscing, which was either a brilliant documentary device or the world's most expensive oral history project.","The audience at home figured this out. A journalist. The Russian Revolution. A romance with Louise Bryant. The title is a color and a political label, all at once.","Warren Beatty directed it, produced it, co-wrote it, and starred in it. The title is three letters and a plural."
"Revenge of the Pink Panther",1978,"The seventh outing for a French inspector whose primary weapon is gravity, and the last one before the lead actor inconveniently passed away mid-franchise.","A bumbling detective fakes his own death to investigate his own attempted murder, which is somehow the most coherent plan he's ever executed.","You've seen this. A man in a trench coat, a Cato in the closet ambush, and a cartoon cat in the opening credits doing more detective work than the protagonist.","Peter Sellers, an outrageous mustache, and a jewel that gave its name to the whole series."
"Rio",2011,"A 2011 animated film made by the studio that built its empire on prehistoric mammals slipping on ice, this time pivoting to tropical birds slipping on samba.","A neurotic blue macaw from Minnesota is shipped to Brazil to mate with the last female of his species, which is a premise that would not fly in live action.","Either you haven't seen this, or you have and that's somehow worse — a Carnival parade, a cockatoo villain, and a domesticated bird who can't fly being chained to a bird who very much can.","The city in the title is in Brazil. The bird in the title is blue. I am giving you the answer in pieces and you are still not catching it."
"Rio 2",2014,"A 2014 sequel nobody was demanding to a 2011 film people mildly enjoyed, which is the business model of animation in the 2010s.","The blue macaws relocate to the Amazon to meet the wife's family, and the film becomes a meet-the-parents comedy with more beaks.","At this point I have to ask — did you know there was a sequel to the bird movie? Because the studio wasn't entirely sure either.","Same birds. Same voices. Same title with a Roman numeral. You can do the math."
"Risky Business",1983,"A 1983 film that turned a teenager dancing in his underwear into a generational image and launched a career that has yet to slow down.","A Princeton-bound kid loses his parents' Porsche to the bottom of Lake Michigan and decides the obvious solution is to run a brothel out of the family home.","The fact that you're still guessing tells me something about you — a white button-down, pink socks, Ray-Bans, and Bob Seger on the stereo.","""Sometimes you gotta say what the —"" you know the rest. Tom Cruise, sliding into frame."
"RoboCop",1987,"A 1987 Dutch director's sneak attack on American capitalism dressed up as a film about a man with guns for hands.","Set in a Detroit so collapsed that the obvious solution is to privatize the police force and weld a dead officer to a tank, which the film treats as satire and which Detroit treated as a documentary.","I want you to think carefully about what you actually know — a murdered cop is rebuilt as a cyborg, the villain is a corporation, and ""I'd buy that for a dollar"" is a catchphrase.","The tagline is literally the movie's pitch. Part man, part machine, all the title."
"Rocky IV",1985,"A 1985 film that ended the Cold War four years before the Berlin Wall fell, according to the screenwriter who also stars in it.","A man trains by chopping wood in Siberia while his opponent is in a Soviet lab being injected with science, and somehow we are meant to view this as a fair fight.","Let me be direct with you — a montage, a giant blond Russian, the line ""I must break you,"" and an American flag worn as a robe.","The fourth chapter of a boxing saga starring Sylvester Stallone. The numeral is in the title."
