title,year,hint_1,hint_2,hint_3,hint_4
"Liar Liar",1997,"A mid-90s vehicle built around the idea that a rubber-faced comedian physically cannot tell the truth, which the rubber-faced comedian treats as a personal physics problem.","The lead is a lawyer, which means the entire premise is a 24-hour torture sequence in which his profession and his condition are mortal enemies.","You've seen this. There's a bit where a man beats himself up in a bathroom and loses the fight.","""The pen is BLUE!"" — a birthday wish, a courtroom, and a dad who finally has to mean what he says."
"Life Is Beautiful",1997,"A late-90s Italian film that did the impossible — won an audience over by making them laugh inside the worst place on Earth, and somehow didn't get run out of town for it.","A bookseller in Tuscany woos a schoolteacher by orchestrating coincidences so elaborate they qualify as light stalking, and the movie sells it as romance because he's that charming.","Either you haven't seen this, or you have and that's somehow worse — a father convinces his small son that the camp they've been deported to is an elaborate game with a tank as the grand prize.","The director also stars, also won Best Actor, and famously climbed over the seats at the Oscars. Three words. The middle one is a verb. Figure it out."
"Life of Pi",2012,"A 2012 film that asked audiences to spend two hours on a lifeboat with a Bengal tiger and somehow made it the year's most beautiful thing on a screen.","A shipwreck, a zoo's worth of animals, and a teenage boy negotiating a truce with a tiger named, for reasons the film will explain, Richard Parker.","At this point I have to ask — does a boy, a boat, a tiger, and a framing device involving a writer being told the whole story over tea mean nothing to you?","The kid's name is in the title. It's two letters. Add ""Life of"" in front of it. You're welcome."
"Lightyear",2022,"A 2022 Pixar experiment built on the premise that the toy from a previous franchise was based on a real in-universe movie, which is the kind of logic that only survives a pitch meeting on a Friday.","The robot cat steals the film, which is a problem when the film is supposed to be about the space ranger.","The fact that you're still guessing tells me something about you. The catchphrase is the tagline. The tagline is the catchphrase. We are going in circles.","""To infinity and beyond."" The space ranger's last name. Go."
"Lilo & Stitch",2025,"A 2025 live-action remake of a beloved 2002 animated film, because the studio has a spreadsheet and the spreadsheet is in charge now.","A blue alien experiment crash-lands in Hawaii and gets adopted from a shelter by a small girl who assumes he's a dog, which he allows because the alternative is being executed by the Galactic Federation.","I want you to think carefully about what you actually know. A surfboard, a social worker, and the word ""ohana"" being explained to you with great emotional weight.","Two names connected by an ampersand. The girl's name is four letters. The alien's name rhymes with ""glitch."""
"Lincoln",2012,"A 2012 prestige film about the passage of the 13th Amendment, which sounds like homework and somehow became one of the year's best films anyway.","A method actor disappears so completely into the 16th President that his castmates reportedly addressed him as ""Mr. President"" between takes, which is either commitment or a HR violation.","Let me be direct with you. The title is the man's last name. The man is on the penny. The penny is in your couch.","Stovepipe hat. Beard. Daniel Day-Lewis. I have done all the work here."
"Little Miss Sunshine",2006,"A 2006 indie that convinced America a yellow VW bus full of dysfunctional adults pushing a child toward a beauty pageant was the feel-good movie of the year.","The grandfather teaches the granddaughter her pageant routine, and the routine is wildly inappropriate, which is the entire joke and also the entire heart of the film.","You know this one. A family pushes a broken-down van to get it started. A small girl in glasses dances to a song you can't say in front of children.","Olive. The pageant. A road trip with a corpse in the back. Two words — a size and a title."
"Little Women",2019,"A late-2010s adaptation of a novel that has been adapted approximately every fifteen years since the invention of the camera, this time with a director who decided to put the timeline in a blender.","Four sisters, one attic, a manuscript, and a scene where Jo cuts off her hair to fund the family, which the family receives with the enthusiasm of people who would have preferred cash.","Here's what I know about you right now — you're stalling. March family. Civil War. Beth. You're getting closer.","Jo. Meg. Beth. Amy. The title describes them collectively and condescendingly."
"Live and Let Die",1973,"A 1973 entry that introduced a new actor to the world's most famous tuxedo, traded the martinis for tarot cards, and decided the Cold War could wait while we visited Harlem.","A theme song by a former Beatle that is somehow better than the movie it was written for, and a villain whose secret identity is genuinely well-constructed until you remember the alligator farm.","This is the part where I stop being polite about it. 007. New Orleans. Voodoo. A speedboat chase that goes on long enough to qualify as a separate film.","A Bond film. The title is a Paul McCartney song. Three verbs, one of them is an instruction."
"Logan",2017,"A 2017 superhero film that decided the genre was capable of grief, and was rewarded with the first Oscar nomination ever handed to a movie in which a man has knives in his hands.","An aging mutant drives a limo near the Mexican border while a senile telepath has seizures that level small towns, which is the bleakest possible version of a road trip movie.","I'm going to need you to search your memory more aggressively. Adamantium claws. A little girl with the same claws. A final scene at a wooden cross.","The title is the character's first name. The character is Wolverine. Hugh Jackman's last go-round."
