title,year,hint_1,hint_2,hint_3,hint_4
"Four Weddings and a Funeral",1994,"A 1994 British comedy that convinced an entire generation that the floppy-haired, stammering apology was a viable romantic strategy.","The bachelor in question keeps showing up late to ceremonies in a morning suit, and the film treats this as a personality.","You've seen this. A W.H. Auden poem gets read at the sad one, an American keeps appearing at the happy ones, and the title tells you the exact ratio.","Hugh Grant. Andie MacDowell. ""Is it still raining? I hadn't noticed."" That's the giveaway, take it."
"Frankenstein",2025,"A filmmaker who has spent his entire career making love letters to monsters finally gets his hands on the original text, and somehow restrains himself to only two and a half hours.","The creature is stitched together by a scientist with the bedside manner of a man who has never apologized for anything, and the result is more sad poet than shambling brute.","Either you haven't seen this, or you have and that's somehow worse — a gothic period piece, a tortured creator, and a creature begging for a name.","Lightning. A laboratory. A man who plays God and a creation that reads better books than he does — the title is the doctor's surname and you've known it since childhood."
"Friday the 13th",1980,"A low-budget summer camp horror film that essentially invented an entire decade of slasher cinema and convinced a generation that the woods were a terrible place to have sex.","The killer's identity is the kind of twist you'd never see coming today, mostly because every sequel since has spoiled it by featuring her son in a hockey mask.","At this point I have to ask — a summer camp, counselors getting picked off one by one, and a famous future Footloose star meeting an arrow through the throat.","Camp Crystal Lake. Mrs. Voorhees. The date is right there in the title."
"Frost/Nixon",2008,"A 2008 film adapted from a stage play about a television interview, which sounds like the least cinematic premise ever pitched and somehow worked.","A disgraced American president agrees to be questioned by a British talk show host who everyone, including the president, assumes is a lightweight.","The fact that you're still guessing tells me something about you. Two surnames, a slash between them, and a confession about Watergate that took four sessions to extract.","Ron Howard directed it. One man's name on the left of a slash, one man's name on the right. You have the answer, you're just not saying it."
"Frozen II",2019,"A 2019 sequel to a film that Disney built an entire merchandise empire around, which meant this one had to exist whether the story needed it to or not.","The plot involves an enchanted forest, a water horse, and a sister going off alone to follow a voice only she can hear, which is either spiritual awakening or a cry for help.","I want you to think carefully about what you actually know. Two royal sisters, a talking snowman who has somehow become philosophical, and a Roman numeral in the title.","Elsa. Anna. Olaf. The first one had ""Let It Go."" This one came after. Do the math."
"Fun with Dick and Jane",2005,"A remake of a 1977 satire, retooled for the post-Enron era, when watching white-collar criminals get robbed was the closest thing America had to therapy.","A suburban couple loses everything when the husband's company collapses overnight, and they respond the way any reasonable upper-middle-class household would — by knocking over convenience stores.","Let me be direct with you — a rubber-faced comedian doing his elastic best, a wife along for the heist, and a corporate villain who deserves every bit of what's coming.","The title is a children's reading primer with one extra word in front of it. You learned to read with these characters."
"Funny Lady",1975,"A sequel nobody really asked for to a 1968 musical biopic everyone loved, which is the kind of decision studios made when cocaine was a business expense.","The real-life vaudeville star gets a second act with a showman-songwriter husband, a lot of sequins, and the slow realization that talent and happiness are not the same currency.","You know this one — a Broadway legend's life continues into the Depression, a follow-up to a much more beloved earlier film, and the leading actress reprising the role that won her an Oscar.","Fanny Brice. Billy Rose. The first word of the title is an adjective and the second word is what they call women on Downton Abbey."
"Furious 7",2015,"A 2015 entry in a franchise that started out being about street racing and ended up being about parachuting cars out of airplanes, and nobody objected.","The film had to be finished after one of its leads died mid-production, and the ending it landed on is the rare moment this series stopped winking and just meant it.","Here's what I know about you right now — you're picturing a quarter-mile, a family speech, and a Wiz Khalifa song that made grown men cry at a cineplex.","One word and a number. The number is seven. The word rhymes with ""curious."" We're done."
"Gandhi",1982,"A 1982 epic that beat E.T. for Best Picture, which is the kind of decision the Academy makes when it wants to feel serious about itself.","The lead actor disappeared into the role so completely that audiences forgot he was a British stage performer and not, in fact, the man himself.","This is the part where I stop being polite about it. A lawyer in a loincloth, the Salt March, a hunger strike, and Indian independence from the British Empire.","One name. Six letters. Round glasses, a walking stick, and the most famous nonviolent resistance movement of the twentieth century."
"Gangs of New York",2002,"A passion project that took its filmmaker roughly thirty years to get made, and you can feel every one of those years in the production design alone.","The villain has a glass eye with an American eagle painted on it, sharpens knives in a butcher shop, and delivers monologues like he's auditioning for the Old Testament.","I'm going to need you to search your memory more aggressively — Five Points, top hats, cleavers, and an Irish kid coming back to avenge his father in a city that hasn't quite become a country yet.","Bill the Butcher. The Five Points. Civil War draft riots in the streets — the title is a plural noun and a famous city, separated by the word ""of."""
