title,year,hint_1,hint_2,hint_3,hint_4
"Anyone But You",2023,"A 2023 rom-com trying to prove the genre was not dead, merely doing squats, buying linen, and waiting for Australia to look expensive.","The whole engine runs on two beautiful people insisting they have no chemistry while behaving like a lab explosion in formalwear.","Seen this. Enemies with cheekbones, a wedding abroad, fake romance becoming suspiciously real, and enough sun-drenched bickering to restart the studio rom-com machine.","Bea. Ben. Destination wedding. Fake couple. Real feelings. A helicopter rescue, many abs, and “Unwritten” deployed like a national anthem."
"Apocalypse Now",1979,"A 1979 war film that starts as a military mission and slowly mutates into a fever, which is a polite way of saying the jungle wins.","A river journey into Vietnam, a colonel treated like a god, and helicopters arriving to Wagner because subtlety had been shot and left somewhere upstream.","Either you haven't seen this, or you have and that's somehow worse. The napalm, the surfing, the dossier, the voiceover, the entire moral structure collapsing in humidity.","Willard is sent to terminate Kurtz. The horror, the horror. This is the one with the ceiling fan, the tiger, and the war movie losing its mind on purpose."
"Apollo 13",1995,"A 1995 film about space exploration that finds its suspense not in aliens or laser battles, but in math, duct tape, and everyone at mission control aging four years in three days.","Three astronauts miss the moon because an oxygen tank explodes, and suddenly the greatest adventure in human history becomes a group project with no bathroom privacy.","At this point I have to ask — did the tagline not personally walk into your house and hand you the answer in a NASA windbreaker?","Jim Lovell, a crippled spacecraft, a carbon dioxide filter made out of whatever was lying around, and Houston being informed that there is, in fact, a problem."
"Aquaman",2018,"A 2018 superhero movie that looked at the ocean and said, “What if every fish, crab, and sea horse had been waiting for a heavy-metal album cover?”","Our half-human hero has royal blood, underwater politics, a trident problem, and hair that somehow remains confident in saltwater combat.","The fact that you're still guessing tells me something about you. Mainly that a shirtless Atlantean riding into battle on sea creatures did not leave the mark it was designed to leave.","Arthur Curry. Atlantis. The orange-and-green suit. A king of the seven seas who talks to fish, which is a silly power until the sharks show up."
"Aquaman and the Lost Kingdom",2023,"A 2023 sequel that returns to Atlantis because apparently the ocean still had unresolved family issues and a few glowing weapons left in storage.","Black Manta comes back with a cursed trident, Arthur needs help from his imprisoned brother, and the whole thing becomes a wet buddy comedy with royal consequences.","I want you to think carefully about what you actually know. There is only one recent superhero franchise where “my brother, the underwater king, is annoying” counts as geopolitical tension.","Arthur and Orm team up, Atlantis is threatened again, the villain has a black suit and a bad attitude, and the missing realm in the title is not exactly subtle."
"Argo",2012,"A 2012 thriller about a rescue operation so absurd it sounds like Hollywood satire until the part where actual lives depend on everyone pretending the nonsense is real.","Six Americans hide in Tehran while the CIA builds a fake science-fiction production around them, because sometimes the best passport is a storyboard and a producer who can lie beautifully.","Let me be direct with you. Fake movie. Real extraction. Iranian revolution. Canadian ambassador. Airport tension sharp enough to shave with.","The CIA gets them out by making them pretend to be a film crew. The famous rude catchphrase uses the fake production’s name, and no, I am not printing it for you."
"Armageddon",1998,"A 1998 disaster spectacle with the scientific attitude of a fireworks stand and the emotional restraint of a power ballad in a wind tunnel.","NASA decides it is easier to teach oil drillers how to be astronauts than astronauts how to drill, which is the kind of logic that can only arrive wearing aviators.","You know this one. Giant asteroid. Misfit drill crew. Tearful goodbyes. Slow-motion flags. A rock song that spent the late nineties holding humanity hostage.","Harry Stamper, A.J., Liv Tyler crying at a monitor, animal crackers, and Bruce Willis choosing to stay behind so Earth can keep making bad decisions."
"Arrival",2016,"A 2016 science-fiction film where the aliens arrive in giant black shells and the real action is a linguist staring at ink circles until time itself starts behaving suspiciously.","The visitors communicate in circular symbols, which is elegant, profound, and wildly inconvenient for anyone trying to make a quick military decision.","Here's what I know about you right now — you are treating this like a normal alien-invasion movie, and the film is already quietly rearranging your past and future.","Twelve ships. Heptapods. “Abbott and Costello.” A language that changes how memory works, and a daughter whose story is not being told in the order you think."
"As Good as It Gets",1997,"A 1997 studio drama-comedy built around an author so unpleasant that basic human decency arrives like a third-act special effect.","He pens romance novels, terrorizes a diner server, hoards soap, avoids sidewalk cracks, and somehow joins a damaged found family.","This is the part where I stop being polite about this. A cranky novelist, a waitress caring for her sick son, a wounded painter, a tiny dog, and a compliment delivered like dental surgery.","Obsessive handwashing, locked doors, eggs at the same table, and one monstrous man learning manners by caring for a neighbor’s dog. The answer runs five words; do some emotional arithmetic."
"Atlantic City",1980,"A 1980 crime romance set in a fading boardwalk paradise, where the casinos glow and every old hustler can smell one last chance.","A small-time numbers man gets tangled up with stolen cocaine, a young oyster-bar worker, and the fantasy that reinvention is still available after the world has moved on.","I'm going to need you to search your memory more aggressively. Boardwalk, salt air, casino lights, a would-be gangster, a woman dreaming of Monaco, and a bag of drugs causing everyone to walk faster.","The ocean is right there, the gambling is legal, and the answer is that New Jersey casino town whose name sounds like geography doing paperwork."
"Atonement",2007,"A 2007 prestige tragedy in which one child's imagination has the destructive power of artillery, then actual artillery arrives to make the point less metaphorical.","There is a green dress, a fountain, a library, and a typewriter sound that should be registered as a weapon.","Consider what you're admitting by not having gotten this yet. A little sister tells one catastrophic lie, and two beautiful people spend the rest of the movie being punished by history.","Briony. Cecilia. Robbie. Dunkirk on the beach. The letter that should not have been read, the accusation that should not have been made, and the ending that reaches into your chest with both hands."
"Austin Powers: The Spy Who Shagged Me",1999,"A 1999 sequel took the late-'60s sex-farce parody, added cryogenic villainy, and decided subtlety was something other franchises could worry about.","The villain goes backward through history to steal a hero's mojo, which is both the plot and a fairly accurate description of studio comedy in the late nineties.","Take a breath. Think about what decade you're in. Velvet suits, bad teeth, lava-lamp innuendo, a bald supervillain, and jokes built like neon billboards.","Dr. Evil has a tiny clone, a moon laser, and a Scottish henchman whose name sounds like a dare from standards and practices. Yeah, baby, there it is."
"Avatar: The Way of Water",2022,"Thirteen years later, the biggest movie ever finally got a sequel and immediately decided that the blue forest people needed an ocean phase.","The family flees to a reef clan, learns breath control, bonds with space whales, and confirms that parenting is difficult even when everyone is nine feet tall and bioluminescent.","Between you and me, this is embarrassing. You have Pandora, blue people, a sequel, and a whole plot built around learning how not to drown beautifully.","Jake and Neytiri have kids now, the tulkun are emotional, the villains are back in new blue bodies, and the subtitle is basically a swimming lesson with mythological confidence."
"Avengers: Age of Ultron",2015,"A 2015 superhero pileup where the lesson is that if a billionaire builds a peacekeeping artificial intelligence, it will immediately become a theater kid with genocide plans.","The robot sings about having no strings, the Hulkbuster suit gets taken for a city-smashing test drive, and Sokovia has a truly terrible day.","Whatever you're doing isn't working. Think metal army, psychic twins, a floating city, and Earth's biggest group project becoming a workplace dispute with lasers.","The homicidal A.I. has daddy issues, Vision gets born in a cape, and everyone leaves the rubble emotionally prepared to start fighting each other in the next one."
"Avengers: Infinity War",2018,"A 2018 blockbuster that sold itself as the grand convergence of a decade of capes, quips, trauma, and very expensive scheduling.","A purple cosmic tyrant collects six shiny rocks because apparently therapy was unavailable across the universe.","I want to give you the benefit of the doubt here, but — there is a gauntlet, a snap, Wakanda, Titan, and an ending where half the theater went silent in a way popcorn cannot fix.","Thanos wins. Peter says he doesn't feel so good. People turn to dust. The heroes lose so thoroughly the credits feel like a crime scene."
"Awakenings",1990,"A 1990 medical drama about miracle and its refund policy, which is to say the universe lets people return for a while and then starts checking the receipt.","A shy doctor tries an experimental drug on long-catatonic patients, and the first success turns a hospital ward into a place where joy is suddenly dangerous.","We've been at this long enough. A man frozen by illness comes back to movement, speech, dance, appetite, grief, and all the ordinary things people forget are luxuries.","Robin Williams watches Robert De Niro reenter the world through L-Dopa, and the cruel part is not that the miracle happens. The cruel part is that it has a timer."
"Babe",1995,"A 1995 family film about farm animals that somehow wandered into the Best Picture conversation, because the nineties were stranger and more generous than we deserved.","A polite little pig decides sheep can be managed through manners instead of barking, which frankly makes him more qualified for leadership than most adults.","You're making this harder than it is. There is a pig, a farmer, sheep-herding, and one of the most devastatingly gentle compliments in cinema.","""That'll do, pig. That'll do."" If that didn't hand you the answer in a small wool-lined basket, I can't help what happened to your childhood."
"Babel",2006,"A 2006 global misery machine where one gunshot ricochets through Morocco, Mexico, Japan, and America, because cinema loves proving we are all connected in the worst possible way.","Tourists, a nanny at the border, a deaf teenager in Tokyo, and two boys with a rifle — everyone is trying to be heard, and nobody brought the right language.","Look, I'm not judging you. I am, but I'm not showing it. The whole movie is built on miscommunication across continents and the consequences of people not listening.","Think Old Testament tower, but with passports, trauma, subtitles, and a rifle. Everyone speaks past everyone else until the title practically builds itself upward."
"Bad Boys for Life",2020,"The third Miami buddy-cop entry arrives with sports cars, shootouts, and knees that make different sounds than they did in the nineties.","One detective wants retirement, the other wants to keep sprinting toward bullets, and a new tactical squad shows up to prove youth has better gear and worse timing.","This one has been on television roughly four hundred times. Mike gets shot, Marcus gets spiritual, and Miami continues to be photographed like a cologne commercial with crime.","Lowrey and Burnett are older, louder, and still allergic to procedure. Captain Howard yells, the AMMO team joins in, and the subtitle promises loyalty with middle-aged panic."
"Bad Boys: Ride or Die",2024,"A 2024 sequel takes the Miami cops who usually cause the property damage and makes them fugitives, which is a bold legal strategy and a franchise tradition.","Their late captain is framed, the investigation turns against them, and the camera starts doing stunt work like it has something to prove to TikTok.","The audience at home figured this out. Lowrey and Burnett are on the run, clearing Howard's name, dodging every agency in Florida, and still finding time to argue like a married couple in tactical gear.","Reggie becomes an action legend, the boys go fugitive, Miami sweats through another explosion, and the subtitle is a two-option slogan: keep moving together or become paperwork."
"Barbie",2023,"A 2023 studio comedy somehow turned a plastic toy aisle into a pink existential crisis about mortality, patriarchy, and whether a dream house counts as real estate.","The joke is that the woman made to be perfect discovers cellulite and dread, while the man with no job besides beach becomes radicalized by horses and mojo dojo nonsense.","You've seen this. Pink convertible, plastic feet, a corporate boardroom full of men, and a musical number where every guy in sight needs his own spotlight.","She’s the doll. He’s just Ken. The whole thing is hot pink, self-aware, and contains more emotional damage than a toy commercial has any right to carry."
"Basic Instinct",1992,"A 1992 thriller from the era when Hollywood believed erotic danger could be solved by smoking indoors and interrogating people under fluorescent lighting.","A novelist writes murders, a detective investigates her, and everyone behaves as if sleeping with the prime suspect is a bold investigative technique rather than workplace collapse.","Either you haven't seen this, or you have and that's somehow worse. Ice pick, mirrored ceiling, interrogation room, and the most famous chair adjustment in thriller history.","Catherine Tramell, a white dress, no underwear, and a police department losing a staring contest. The answer is practically uncrossing its legs at you."
"Batman & Robin",1997,"A 1997 superhero sequel that looked at comic-book darkness, laughed, and drove a toyetic neon parade straight through the middle of Gotham.","The villains here are an ice-themed widower with unlimited puns and a plant-obsessed seductress treating botany like a felony syllabus.","At this point I have to ask — how many clues do you need before the rubber suits, the Bat-credit card, and the avalanche of freeze jokes do the work for you?","Gotham. Mr. Freeze. Poison Ivy. Batgirl. Nippled armor. If your brain just lit up like a fast-food collectible display, follow that terrible beautiful glow."
"Batman Forever",1995,"A 1995 superhero sequel that decided darkness was nice, sure, but what if Gotham looked like a pinball machine having a panic attack?","One villain flips a coin, another dresses like a radioactive game show host, and the hero spends half the movie pretending therapy is not the obvious solution.","The fact that you're still guessing tells me something about you. Specifically, that you can picture the green question marks and still refuse to walk through the door.","Riddler. Two-Face. A new Robin. A psychologist named Chase Meridian, because subtlety had been legally banned. It is the mid-’90s one with the very permanent adjective."
"Batman Returns",1992,"A 1992 superhero film that is technically about masked crime, but spiritually about Christmas decorations being left alone with a German Expressionist nightmare.","There’s a sewer aristocrat with flippers, a resurrected secretary in vinyl, and a department store magnate so evil the movie barely has to exaggerate him.","I want you to think carefully about what you actually know. Snowy Gotham, missile penguins, a woman licking herself clean after falling out of a window.","The Bat, the Cat, the Penguin. Selina Kyle cracks the whip, Oswald waddles out of the sewer, and mistletoe suddenly becomes a legal argument."
